,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.67,0.62,0.0,0.96,0.64,0.79,0.91,0.77,0.67,0.57
pclasses.csv,0.0,0.75,1.0,1.0,0.98,1.0,1.0,1.0,0.78,1.0
pfaedit.csv,1.01,0.65,0.89,1.04,0.06,0.83,0.73,0.58,0.78,0.78
theresa.csv,1.0,0.96,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
thrust.csv,0.86,0.8,0.54,0.6,0.73,0.18,0.69,0.62,0.55,0.68
tktoolkit.csv,0.88,0.78,0.81,0.8,0.93,1.0,0.92,0.0,0.75,0.9
trinitycore.csv,0.72,0.97,1.0,0.52,0.75,0.74,0.84,0.79,0.05,0.86
tzod.csv,0.45,0.04,0.66,0.54,0.58,0.96,0.74,0.62,0.6,0.69
yaprm.csv,0.59,0.64,0.72,0.24,0.62,0.65,0.03,0.7,0.65,0.76
zemljanka.csv,0.96,0.9,1.0,1.0,1.0,0.91,0.78,0.98,0.99,0.0
