,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.19,0.42,1.0,0.06,0.66,0.25,0.47,0.15,0.27,0.97
pclasses.csv,1.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.27,0.0
pfaedit.csv,0.0,0.46,0.56,0.0,0.96,0.33,0.48,0.19,0.22,0.96
theresa.csv,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.12,0.32,0.73,0.09,0.64,1.0,0.52,0.16,0.33,0.96
tktoolkit.csv,0.18,0.37,0.8,0.07,0.58,0.27,0.51,1.0,0.27,0.96
trinitycore.csv,0.17,0.14,0.0,0.09,0.78,0.31,0.44,0.22,1.0,1.0
tzod.csv,0.32,1.0,0.75,0.1,0.73,0.1,0.47,0.16,0.32,1.0
yaprm.csv,0.29,0.44,0.75,0.2,0.79,0.3,1.0,0.14,0.29,0.96
zemljanka.csv,0.17,0.38,0.58,0.06,0.61,0.28,0.52,0.13,0.25,1.0
