,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.73,0.67,1.0,1.0,0.72,0.65,0.81,0.87,0.64,0.64
pclasses.csv,1.0,0.33,0.0,0.0,0.02,0.0,0.0,0.0,0.25,0.0
pfaedit.csv,0.0,0.41,0.12,0.0,0.98,0.18,0.41,0.52,0.31,0.25
theresa.csv,0.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.18,0.26,0.54,1.0,0.83,0.82,0.46,0.52,0.69,0.6
tktoolkit.csv,1.0,0.78,0.2,1.0,0.83,1.0,0.97,1.0,0.85,0.11
trinitycore.csv,0.36,0.04,0.0,0.67,0.26,0.29,0.19,0.22,0.95,0.14
tzod.csv,0.64,0.96,0.37,1.0,0.5,0.12,0.41,0.57,0.53,0.31
yaprm.csv,0.45,0.44,0.29,1.0,0.41,0.53,0.97,0.39,0.49,0.32
zemljanka.csv,1.0,0.96,0.98,1.0,1.0,1.0,0.86,1.0,1.0,1.0
