,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.0,0.0,0.0,101.0,4.0,0.0,97.0,4.0,0.0,76.0,6.0,49.0,0.0,0.0,205.0,7.0,1.0,2.0,2.0,1.0
baadengine.csv,0.0,27.0,0.0,35.0,0.0,0.0,3.0,4.0,1.0,8.0,2.0,28.0,16.0,0.0,26.0,1.0,0.0,0.0,3.0,0.0
bibedt.csv,1.0,0.0,0.0,32.0,4.0,0.0,2.0,5.0,0.0,76.0,10.0,49.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0
cascading.csv,0.0,2.0,0.0,16.0,0.0,4.0,0.0,3.0,17.0,8.0,6.0,18.0,0.0,0.0,39.0,16.0,0.0,0.0,1.0,0.0
chaosrts.csv,1.0,3.0,0.0,33.0,0.0,0.0,11.0,4.0,1.0,4.0,6.0,25.0,2.0,0.0,13.0,9.0,0.0,3.0,0.0,0.0
exl.csv,0.0,0.0,0.0,61.0,0.0,4.0,3.0,13.0,6.0,0.0,11.0,49.0,0.0,1.0,49.0,3.0,0.0,0.0,3.0,0.0
gnome-jabber.csv,1.0,3.0,0.0,76.0,0.0,0.0,11.0,5.0,0.0,8.0,3.0,19.0,2.0,0.0,72.0,8.0,0.0,2.0,2.0,0.0
gogoego.csv,1.0,0.0,0.0,17.0,2.0,1.0,8.0,0.0,16.0,2.0,14.0,49.0,3.0,2.0,5.0,5.0,2.0,0.0,0.0,3.0
httpcontentparser.csv,0.0,69.0,0.0,101.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0
impala.csv,1.0,3.0,0.0,83.0,4.0,0.0,9.0,5.0,0.0,6.0,3.0,49.0,9.0,0.0,205.0,0.0,0.0,3.0,2.0,0.0
jaxlib.csv,0.0,69.0,200.0,101.0,69.0,0.0,1.0,1.0,339.0,1.0,1.0,0.0,50.0,60.0,205.0,207.0,0.0,96.0,0.0,0.0
jgameai.csv,2.0,1.0,0.0,101.0,0.0,0.0,9.0,0.0,2.0,0.0,3.0,6.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0
jhotdraw.csv,0.0,69.0,0.0,101.0,4.0,0.0,97.0,16.0,0.0,0.0,5.0,49.0,50.0,0.0,1.0,16.0,2.0,96.0,1.0,0.0
patterntesting.csv,2.0,69.0,0.0,101.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,13.0,3.0,3.0,15.0,2.0,0.0,0.0,0.0,1.0
pokeglobal.csv,0.0,69.0,0.0,49.0,0.0,0.0,11.0,16.0,0.0,3.0,4.0,49.0,9.0,3.0,34.0,3.0,0.0,0.0,0.0,0.0
snakeyaml.csv,1.0,1.0,0.0,101.0,4.0,0.0,11.0,5.0,0.0,8.0,6.0,15.0,2.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0
unflobtactical.csv,0.0,0.0,0.0,101.0,4.0,0.0,8.0,4.0,0.0,3.0,5.0,5.0,5.0,0.0,19.0,26.0,1.0,3.0,1.0,0.0
werx.csv,1.0,3.0,0.0,83.0,4.0,0.0,11.0,5.0,0.0,8.0,6.0,25.0,2.0,0.0,72.0,8.0,0.0,3.0,2.0,0.0
zealos.csv,0.0,69.0,0.0,101.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,4.0,0.0,18.0,8.0,0.0,0.0,3.0,0.0
