,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.4,0.52,0.22,0.91,0.88,0.3,0.38,0.49,0.41,0.24,0.29
gabel.csv,0.1,0.02,0.0,0.05,0.88,0.0,0.0,0.02,0.0,0.0,0.0
javaprofiler.csv,0.55,0.57,0.24,0.41,0.62,0.5,0.34,0.48,0.35,0.17,1.0
jmoney.csv,1.0,0.52,0.22,0.36,0.5,0.0,0.17,0.3,0.24,0.41,0.09
mycila.csv,0.1,0.26,0.32,0.32,0.0,1.0,0.35,0.23,0.06,0.24,0.21
neodatis-odb.csv,0.3,0.17,0.89,0.14,0.0,0.0,0.13,0.21,0.41,0.17,0.44
servicestack.csv,0.8,0.74,0.7,0.59,0.75,0.4,0.55,0.27,1.0,0.41,0.45
sqlpower-library.csv,1.0,0.98,0.38,0.59,0.75,0.3,0.28,0.63,0.41,0.34,0.61
synecdoche.csv,0.45,0.3,0.16,0.59,0.5,0.4,0.28,0.35,0.18,0.97,0.37
tmva.csv,0.45,0.67,0.43,0.91,0.88,0.2,0.99,0.69,0.35,0.52,0.49
unicase.csv,0.75,0.61,0.35,0.73,0.75,0.3,0.69,1.0,0.24,0.55,0.48
