,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.45,0.56,0.26,0.93,0.85,0.34,0.43,0.51,0.46,0.28,0.32
gabel.csv,0.12,0.02,0.0,0.06,0.9,0.0,0.0,0.02,0.0,0.0,0.0
javaprofiler.csv,0.55,0.56,0.28,0.43,0.59,0.5,0.37,0.45,0.39,0.2,1.0
jmoney.csv,1.0,0.57,0.26,0.41,0.53,0.0,0.2,0.34,0.28,0.45,0.11
mycila.csv,0.12,0.3,0.36,0.36,0.0,1.0,0.4,0.27,0.07,0.28,0.23
neodatis-odb.csv,0.34,0.2,0.91,0.17,0.0,0.0,0.15,0.25,0.45,0.2,0.49
servicestack.csv,0.62,0.66,0.63,0.59,0.69,0.41,0.55,0.31,1.0,0.44,0.48
sqlpower-library.csv,0.67,0.98,0.41,0.58,0.67,0.33,0.31,0.59,0.44,0.37,0.55
synecdoche.csv,0.49,0.34,0.19,0.53,0.51,0.44,0.32,0.38,0.21,0.98,0.38
tmva.csv,0.49,0.57,0.42,0.66,0.74,0.23,0.98,0.63,0.4,0.54,0.47
unicase.csv,0.62,0.58,0.38,0.65,0.6,0.34,0.55,1.0,0.28,0.51,0.35
