,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.17,0.18,0.26,0.0,0.27,0.17,0.13,0.36,0.07,0.02,0.44
gabel.csv,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.44,0.47,0.3,0.43,0.5,0.48,0.48,0.63,0.22,0.4,0.0
jmoney.csv,0.0,0.12,0.26,0.09,0.28,0.14,0.03,0.19,0.09,0.19,0.08
mycila.csv,0.2,0.35,0.27,0.17,0.22,0.0,0.12,0.31,0.15,0.07,0.58
neodatis-odb.csv,0.37,0.12,0.0,0.11,0.2,0.19,0.35,0.19,0.22,0.23,0.17
servicestack.csv,0.68,0.53,0.56,0.4,0.49,0.52,0.43,0.15,0.0,0.4,0.33
sqlpower-library.csv,0.71,0.0,0.37,0.46,0.52,0.4,0.52,0.54,0.41,0.4,0.61
synecdoche.csv,0.24,0.35,0.33,0.63,0.42,0.26,0.17,0.38,0.28,0.0,0.56
tmva.csv,0.29,0.65,0.6,0.69,0.54,0.36,0.05,0.54,0.17,0.33,0.61
unicase.csv,0.63,0.53,0.44,0.54,0.67,0.36,0.7,0.02,0.15,0.6,0.83
