,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
55,2,1,1,1,1,1,0,0,logicmail.csv
51,3,1,1,4,3,7,7,9,unbvision.csv
50,4,1,1,6,3,3,10,15,lamp.csv
57,5,2,3,6,4,5,11,10,neodatis-odb.csv
21,6,10,4,14,9,4,7,13,triplea.csv
17,7,3,2,8,3,8,14,17,geotools.csv
27,8,5,6,6,10,10,13,18,hydrate.csv
16,9,4,3,8,2,2,8,9,ngl.csv
24,10,1,4,5,1,3,7,8,beast-mcmc.csv
56,13,1,2,2,3,2,6,5,amanda.csv
58,14,1,1,1,1,1,1,1,gpsmid.csv
18,16,5,3,4,6,9,7,13,lphant.csv
23,17,0,1,1,1,6,6,5,fm-classic.csv
14,18,1,4,5,2,5,6,7,chrysalis.csv
25,19,5,5,8,5,1,1,8,twostep.csv
13,20,0,0,0,4,5,7,7,opensim4opencog.csv
28,21,1,4,4,2,3,7,6,badtrinity-zero.csv
59,22,6,6,10,2,5,16,16,blue-c.csv
49,23,4,4,9,4,5,12,14,rocrail.csv
48,24,4,4,6,4,3,8,9,reactos-mirror.csv
60,25,6,4,7,5,3,5,8,mobicents.csv
26,26,1,1,1,3,7,7,6,acdk.csv
15,27,0,1,2,0,2,5,4,findbugs.csv
22,28,2,6,7,5,10,8,13,jahshakafx.csv
38,30,2,6,6,2,1,5,5,flylinkdc.csv
33,31,3,4,7,3,3,5,8,kdenlive.csv
5,32,3,7,11,5,4,13,14,sigil.csv
12,33,0,5,7,0,3,10,11,htmlunit.csv
11,34,2,2,2,2,2,4,3,qmmp.csv
6,35,2,3,3,2,1,2,1,maya-work-in-progress.csv
32,36,2,2,2,4,3,8,7,ftm.csv
39,37,1,1,2,1,5,6,6,metacosm.csv
31,38,0,2,3,1,2,6,6,t-2.csv
40,39,1,3,2,1,2,1,2,ardour.csv
53,40,2,1,4,2,4,9,8,bacnet.csv
46,41,6,6,11,10,8,18,18,passwordsafe.csv
19,42,3,2,2,1,1,4,3,img-browse-sort.csv
30,43,4,2,3,10,12,15,15,nativeclient.csv
29,44,2,6,9,6,7,15,17,boost.csv
20,45,2,4,5,2,7,10,10,ossbuild.csv
45,46,4,5,6,3,7,10,9,olap-navigator.csv
54,47,2,3,3,3,9,11,11,myfaces.csv
47,48,1,7,11,2,6,9,13,ng4j.csv
52,49,3,6,9,3,3,2,10,openmalaria.csv
8,51,2,3,4,3,8,9,10,jstock.csv
41,52,2,3,8,3,3,11,13,firebreath.csv
37,53,5,3,7,4,1,7,8,xcf.csv
36,54,2,1,2,2,2,2,2,silvertree.csv
42,55,1,1,1,4,4,5,6,moving-pictures.csv
4,57,0,3,3,1,5,6,5,h2database.csv
9,58,3,1,4,6,7,9,10,modellus.csv
1,59,1,2,2,2,3,3,3,columba.csv
0,61,8,4,17,6,2,9,16,fityk.csv
35,62,3,1,5,3,5,6,8,jsr308-langtools.csv
43,63,4,6,12,3,2,13,16,bochs.csv
44,64,6,4,14,8,2,14,16,xharbour.csv
34,65,2,6,8,2,4,9,12,ldview.csv
2,66,3,3,6,4,3,10,13,gnome-jabber.csv
10,67,6,1,13,6,2,12,15,scite-ru.csv
3,68,1,1,1,0,1,4,3,mpqc.csv
7,69,1,1,2,0,1,1,1,ambulant.csv
