,f1,g,recall,precision,pf,cdom,bellwether
1,0.98,0.69,0.6,0.515,0.47,8.0,logicmail.csv
12,0.71,0.6699999999999999,0.63,0.575,0.565,1.0,amanda.csv
15,0.5,0.535,0.43,0.44,0.44,12.0,chrysalis.csv
29,0.76,0.615,0.53,0.475,0.48,19.0,flylinkdc.csv
50,0.68,0.52,0.46499999999999997,0.49,0.49,4.0,firebreath.csv
56,0.77,0.65,0.52,0.53,0.52,2.0,modellus.csv
60,0.7,0.59,0.51,0.5,0.5,8.0,ldview.csv
11,0.82,0.46499999999999997,0.24,0.40499999999999997,0.57,0.0,atunes.csv
