,kvs.csv,phet.csv,jasperreports.csv,fido.csv,hibernate.csv,geogebra.csv,fluent-nhibernate.csv
fido.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fluent-nhibernate.csv,0.27,0.06,0.21,0.0,0.56,0.29,1.0
geogebra.csv,1.0,0.15,0.04,0.04,0.28,0.99,0.1
hibernate.csv,0.23,0.12,0.05,0.0,1.0,0.27,0.22
jasperreports.csv,1.0,0.12,1.0,0.0,0.25,0.43,0.29
kvs.csv,1.0,0.18,0.28,0.0,0.44,0.29,0.14
phet.csv,0.2,1.0,0.02,0.0,0.23,0.14,0.01
