,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.69,0.36,0.48,0.51,0.56,0.54,0.7,0.55,0.51,0.68,0.97,0.72
gmerlin.csv,0.65,0.45,0.68,1.0,0.55,1.0,0.5,0.6,1.0,0.94,1.0,0.94
google-gears.csv,0.44,0.61,0.49,0.56,0.9,0.78,0.75,0.48,0.57,0.57,0.7,0.97
gstreamer.csv,0.72,0.95,0.56,0.8,0.91,0.76,0.71,0.65,0.4,0.56,0.74,1.0
lportal.csv,1.0,0.91,0.99,0.98,0.92,0.33,0.97,1.0,0.63,0.96,0.7,0.89
metacosm.csv,0.72,0.72,0.65,0.81,0.62,0.63,0.71,0.7,0.61,0.71,0.75,0.39
mplayer-ce.csv,0.84,0.39,0.73,0.79,0.71,0.94,0.76,0.8,0.53,0.62,0.57,0.84
openmeetings.csv,0.45,0.19,0.51,0.6,0.54,0.48,0.69,0.71,0.56,0.62,0.72,0.6
qgis.csv,0.75,0.63,0.47,1.0,0.75,0.66,0.8,0.7,0.57,0.7,1.0,0.52
skia.csv,0.44,0.57,0.65,0.62,0.49,0.66,0.66,0.69,0.74,0.4,0.69,0.77
wxcrp.csv,0.48,0.93,0.55,0.63,0.92,0.85,0.72,0.65,0.72,0.66,0.78,0.97
yafdotnet.csv,0.47,0.51,0.57,0.6,0.41,0.57,0.6,0.6,0.55,0.51,0.71,0.79
