,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.83,0.0,0.75,0.67,0.89,0.85,0.82,0.62,0.99,0.88,0.69,0.5,0.96,0.0,0.94,0.85,0.7
codeblocks.csv,0.38,0.42,0.44,0.67,0.43,0.57,0.82,0.37,0.51,0.48,0.47,0.57,0.96,0.51,0.55,0.43,0.65
ctrlr.csv,0.5,0.0,0.94,0.9,0.0,0.0,0.95,0.9,0.0,0.75,0.86,0.83,0.0,0.0,0.93,0.8,0.8
free-evolution.csv,0.52,0.26,0.7,0.65,0.58,0.75,0.83,0.58,0.59,0.71,0.84,0.64,0.9,0.66,0.97,0.84,0.86
fulguro.csv,0.89,0.83,0.96,0.75,0.9,0.8,0.96,0.75,0.99,0.8,0.88,0.0,0.86,0.8,0.97,0.91,0.91
gisgraphy.csv,0.68,0.81,0.62,0.54,0.93,0.86,0.8,0.51,0.71,0.96,0.53,0.47,0.89,0.9,0.64,0.65,0.76
ipfire-wall.csv,0.46,0.61,0.67,0.67,0.46,0.47,0.85,0.56,0.68,0.52,0.94,0.9,0.55,0.67,0.84,0.65,0.44
jruby.csv,0.39,0.26,0.49,0.91,0.33,0.79,0.45,0.67,0.52,0.92,0.96,0.64,0.68,0.49,0.84,0.5,0.47
l2j.csv,0.34,0.36,0.4,0.47,0.35,0.44,0.56,0.4,0.53,0.4,0.45,0.45,0.45,0.39,0.46,0.54,0.37
ldview.csv,0.94,0.99,0.88,0.67,0.91,0.92,0.92,0.55,0.85,0.76,0.73,0.89,0.98,0.97,0.98,0.72,0.83
libmesh.csv,0.85,0.0,0.92,0.8,0.75,0.88,0.93,0.81,0.82,0.9,0.97,0.57,0.85,0.94,0.82,0.76,0.93
red5.csv,0.36,0.27,0.44,0.49,0.43,0.51,0.53,0.4,0.4,0.55,0.45,0.46,0.59,0.46,0.62,0.39,0.35
t-2.csv,0.9,0.43,0.8,0.65,0.83,0.82,0.63,0.56,0.99,0.94,0.78,0.89,0.96,0.95,0.99,0.71,0.71
tencompetence.csv,0.71,0.36,0.92,0.0,0.58,0.96,0.88,0.91,0.79,0.67,0.95,0.91,0.59,0.71,0.63,0.94,0.78
vdsf.csv,0.39,0.99,0.46,0.56,0.49,0.46,0.48,0.39,0.93,0.52,0.53,0.48,0.44,0.52,0.53,0.42,0.37
xbrlapi.csv,0.56,0.38,0.77,0.55,0.37,0.67,0.7,0.59,0.67,0.59,0.87,0.81,0.77,0.69,0.78,0.45,0.53
xcf.csv,0.43,0.26,0.4,0.5,0.4,0.55,0.56,0.44,0.42,0.74,0.57,0.47,0.65,0.38,0.54,0.48,0.29
