,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.07,0.0,0.03,0.24,0.09,0.9,0.33,0.44,0.05,0.08,0.27,0.06,0.09,0.01,0.05,0.0,0.18
codeblocks.csv,0.52,0.63,0.99,0.62,0.51,0.33,0.19,0.83,0.43,0.88,0.82,0.31,0.11,0.27,0.26,1.0,0.23
ctrlr.csv,0.0,0.0,0.09,0.19,0.0,0.05,0.9,0.06,0.0,0.04,0.09,0.09,0.01,0.0,0.05,0.0,0.18
free-evolution.csv,0.52,1.0,0.34,0.43,0.33,0.24,0.14,0.44,0.46,0.31,0.94,0.38,0.17,0.52,0.13,0.09,0.09
fulguro.csv,0.12,0.02,0.15,0.1,0.14,0.38,0.24,0.17,0.2,0.04,0.0,0.03,0.34,0.04,0.09,1.0,0.18
gisgraphy.csv,0.4,0.07,0.59,0.95,0.26,0.38,0.62,0.33,0.61,0.58,0.76,0.75,0.26,0.06,0.62,0.55,0.95
ipfire-wall.csv,0.52,0.4,0.25,0.05,0.56,0.48,0.19,0.94,0.28,0.23,0.12,0.22,0.48,0.29,0.19,0.45,0.41
jruby.csv,0.71,1.0,0.53,0.14,0.84,0.19,0.71,0.06,0.4,0.12,0.24,0.44,0.38,0.98,0.25,0.0,0.41
l2j.csv,0.71,0.79,0.57,0.52,0.74,0.48,0.33,0.56,0.81,0.46,0.61,0.72,0.99,0.46,0.4,0.45,0.59
ldview.csv,0.21,0.26,0.26,1.0,0.12,0.48,0.14,0.44,0.41,0.62,0.33,0.22,0.2,0.22,0.27,0.64,0.36
libmesh.csv,0.31,0.0,0.08,0.33,0.37,0.43,0.19,0.28,0.28,0.92,0.09,0.56,0.27,0.1,0.51,0.45,0.36
red5.csv,0.81,0.99,0.84,1.0,1.0,0.67,0.9,0.67,0.78,0.62,0.91,0.84,0.62,0.56,0.49,0.73,0.77
t-2.csv,0.33,0.52,0.36,0.62,0.07,0.43,0.81,0.5,0.92,0.58,0.48,0.28,0.07,0.12,0.29,0.36,0.59
tencompetence.csv,0.5,0.64,0.08,0.0,0.4,0.24,0.19,0.39,0.13,0.38,0.06,0.12,0.49,0.58,0.98,0.45,0.18
vdsf.csv,0.95,0.87,0.86,0.86,0.6,0.9,0.95,0.83,0.14,0.96,0.67,0.75,0.85,0.83,0.86,1.0,0.82
xbrlapi.csv,0.93,0.77,0.34,0.62,0.79,0.52,0.52,0.5,0.26,0.58,0.3,0.22,0.25,0.38,0.33,0.45,0.59
xcf.csv,0.6,1.0,0.82,0.76,0.67,0.57,0.29,0.56,0.72,0.5,0.64,0.97,0.25,0.48,0.36,0.36,0.68
