,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.09,0.0,0.04,0.28,0.11,0.92,0.37,0.49,0.06,0.1,0.31,0.07,0.11,0.01,0.06,0.0,0.21
codeblocks.csv,0.53,0.61,0.99,0.6,0.52,0.36,0.22,0.45,0.47,0.45,0.46,0.36,0.13,0.31,0.3,0.17,0.27
ctrlr.csv,0.0,0.0,0.11,0.22,0.0,0.06,0.92,0.07,0.0,0.05,0.11,0.11,0.01,0.0,0.06,0.0,0.22
free-evolution.csv,0.47,0.0,0.38,0.47,0.36,0.27,0.17,0.48,0.48,0.35,0.95,0.43,0.2,0.54,0.16,0.11,0.11
fulguro.csv,0.15,0.02,0.18,0.12,0.17,0.42,0.27,0.2,0.24,0.05,0.0,0.04,0.37,0.05,0.11,1.0,0.21
gisgraphy.csv,0.44,0.09,0.5,0.53,0.3,0.41,0.62,0.3,0.63,0.61,0.42,0.62,0.3,0.07,0.59,0.5,0.96
ipfire-wall.csv,0.53,0.44,0.29,0.06,0.54,0.51,0.22,0.95,0.31,0.26,0.15,0.26,0.48,0.33,0.22,0.49,0.42
jruby.csv,0.49,0.0,0.56,0.17,0.26,0.22,0.59,0.07,0.42,0.14,0.28,0.46,0.4,0.98,0.29,0.0,0.41
l2j.csv,0.59,0.59,0.58,0.46,0.6,0.51,0.37,0.57,0.63,0.41,0.58,0.61,0.99,0.42,0.42,0.47,0.55
ldview.csv,0.25,0.3,0.3,1.0,0.14,0.51,0.17,0.47,0.43,0.62,0.36,0.25,0.23,0.26,0.31,0.61,0.4
libmesh.csv,0.35,0.0,0.1,0.37,0.41,0.47,0.22,0.32,0.31,0.91,0.11,0.41,0.31,0.12,0.5,0.47,0.41
red5.csv,0.48,0.05,0.44,0.3,0.99,0.55,0.53,0.33,0.71,0.35,0.66,0.78,0.62,0.54,0.45,0.4,0.56
t-2.csv,0.37,0.49,0.39,0.64,0.09,0.45,0.68,0.5,0.93,0.58,0.48,0.32,0.09,0.14,0.33,0.38,0.62
tencompetence.csv,0.52,0.5,0.1,0.0,0.39,0.28,0.22,0.44,0.15,0.41,0.07,0.14,0.43,0.5,0.98,0.5,0.21
vdsf.csv,0.35,0.89,0.69,0.6,0.52,0.58,0.27,0.29,0.17,0.5,0.49,0.38,0.49,0.45,0.6,0.05,0.43
xbrlapi.csv,0.94,0.59,0.37,0.59,0.41,0.49,0.53,0.52,0.29,0.54,0.34,0.25,0.28,0.41,0.36,0.45,0.58
xcf.csv,0.56,0.0,0.67,0.48,0.66,0.48,0.32,0.5,0.67,0.52,0.63,0.97,0.29,0.47,0.38,0.38,0.55
