,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,projecteqemu.csv,kftpgrabber.csv
boost.csv,0.38,0.64,0.36,0.52,0.88,0.98,0.58,0.5
etics.csv,0.96,0.3,0.43,0.49,0.79,0.25,0.62,0.63
genecys.csv,0.37,0.78,0.19,0.57,1.0,0.55,0.63,0.49
kftpgrabber.csv,0.48,0.37,0.35,0.45,0.51,0.42,0.5,0.97
kvs.csv,0.2,0.3,0.97,0.31,0.41,0.31,0.57,0.68
mcore3d.csv,0.32,1.0,0.42,0.39,0.75,0.56,0.49,0.48
ogrehg.csv,0.67,0.47,0.3,0.99,0.82,0.49,0.64,0.46
projecteqemu.csv,0.38,0.22,0.1,0.38,0.57,0.31,0.99,0.57
