,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.75,0.47,0.6,0.71,0.55,0.59,0.54,0.56,0.46,0.74,0.9,0.39
bscwweasel.csv,0.67,0.86,0.52,0.68,0.41,0.58,0.53,0.44,0.74,0.48,0.69,0.8
capcode.csv,0.67,0.47,0.5,0.5,0.63,0.64,0.79,0.92,0.41,0.53,0.52,0.57
emite.csv,0.45,0.38,0.56,0.59,0.36,0.55,0.55,0.77,0.59,0.88,0.92,0.44
lamp.csv,0.55,0.58,0.75,0.47,0.34,0.39,0.38,0.61,0.42,0.4,0.34,0.62
mecat.csv,0.0,0.67,0.5,0.86,0.67,0.9,0.0,0.93,0.0,0.89,0.89,0.0
nodal.csv,0.5,0.84,0.58,0.62,0.42,0.57,0.5,0.88,0.62,0.37,0.44,0.83
pydev.csv,0.28,0.86,0.69,0.49,0.43,0.45,0.69,0.41,0.7,0.48,0.42,0.93
retromenu.csv,0.92,0.43,0.53,0.79,0.38,0.47,0.65,0.72,0.65,0.88,0.56,0.87
smbopensoft.csv,0.4,0.39,0.5,0.68,0.45,0.82,0.56,0.72,0.75,0.53,0.71,0.4
stuproa-cims.csv,0.0,0.67,0.58,0.61,0.38,0.89,0.75,0.78,0.43,0.44,0.5,0.85
thout.csv,0.41,0.42,0.54,0.7,0.41,0.38,0.39,0.36,0.33,0.42,0.36,0.38
