,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.58,0.37,0.83,0.48,0.39,0.24,0.45,0.37,0.57,0.48
pclasses.csv,0.82,0.53,0.0,0.0,0.16,0.0,0.1,0.05,0.45,0.01
pfaedit.csv,0.0,0.49,0.0,0.68,0.77,0.07,0.68,0.3,0.52,0.23
theresa.csv,0.21,0.63,0.26,0.94,0.69,0.0,0.49,0.62,0.48,0.47
thrust.csv,0.0,0.45,0.45,0.0,0.5,0.57,0.35,0.39,0.44,0.33
tktoolkit.csv,0.46,0.49,0.39,0.62,0.67,0.66,0.54,0.56,0.48,0.0
trinitycore.csv,0.65,0.26,0.02,0.85,0.05,0.33,0.56,0.26,0.69,0.04
tzod.csv,0.31,0.64,0.79,0.69,0.64,0.15,0.51,0.49,0.48,0.66
yaprm.csv,0.4,0.45,0.0,0.68,0.07,0.33,0.68,0.4,0.4,0.19
zemljanka.csv,0.58,0.64,0.34,0.78,0.48,0.56,0.48,0.41,0.4,0.84
