,recall,precision,pf,wins
acdk.csv,0.45,0.52,0.24,595
acegisecurity.csv,0.64,0.43,0.48,365
adaptagrams.csv,0.4,0.5,0.22,584
adobe-source.csv,0.5,0.45,0.37,434
agilitybook.csv,0.42,0.4,0.39,290
aime.csv,0.29,0.34,0.28,288
all-plasm.csv,0.33,0.41,0.29,390
alleg.csv,0.5,0.4,0.42,305
alpine.csv,0.73,0.41,0.6,238
alsa.csv,0.67,0.44,0.51,350
amanda.csv,0.54,0.44,0.43,377
amateur-scrolls.csv,0.2,0.33,0.15,407
ambulant.csv,0.65,0.4,0.63,152
amygdala.csv,0.4,0.4,0.37,305
anaxagora.csv,0.62,0.42,0.48,332
apertium.csv,0.33,0.39,0.28,382
apolloplayer.csv,0.57,0.41,0.43,361
applet2app.csv,0.59,0.5,0.35,555
arcallians.csv,0.67,0.44,0.52,334
archive-crawler.csv,0.43,0.41,0.36,362
ardour.csv,0.5,0.51,0.31,557
arm-webradio.csv,0.4,0.41,0.37,320
array4j.csv,0.59,0.35,0.62,90
atunes.csv,0.61,0.43,0.47,355
auber.csv,0.8,0.41,0.72,135
aufs.csv,0.27,0.33,0.27,281
autat.csv,0.3,0.48,0.17,574
autoopencas.csv,0.29,0.26,0.45,60
autowikibrowser.csv,0.67,0.45,0.48,409
avifile.csv,0.45,0.36,0.5,151
avisynth2.csv,0.03,0.33,0.02,464
awemud.csv,0.57,0.46,0.39,467
aztec.csv,0.37,0.5,0.21,580
azureus.csv,0.86,0.39,0.81,78
baadengine.csv,0.89,0.4,0.77,122
bacnet.csv,0.46,0.45,0.32,477
badtrinity-zero.csv,0.45,0.44,0.33,444
barracudamvc.csv,0.93,0.35,0.97,1
bdbbasic.csv,0.47,0.41,0.37,379
beast-mcmc.csv,0.74,0.45,0.57,324
benojt.csv,1.0,0.37,1.0,5
betoffice.csv,0.71,0.33,0.83,3
bibedt.csv,0.54,0.45,0.38,449
bibletime.csv,0.7,0.42,0.54,295
bigdata.csv,0.45,0.41,0.37,361
biodwh.csv,0.31,0.51,0.16,596
bionote.csv,0.35,0.5,0.19,588
biopax.csv,1.0,0.38,1.0,10
bl-toolkit.csv,0.69,0.38,0.71,83
blogentis.csv,0.52,0.36,0.64,62
blue-c.csv,0.77,0.42,0.64,222
bnetd.csv,0.77,0.39,0.7,124
bochs.csv,0.71,0.39,0.63,174
boost-sandbox.csv,0.56,0.37,0.55,164
boost.csv,0.61,0.46,0.44,428
botsnscouts.csv,0.63,0.46,0.43,454
brlcad.csv,0.29,0.46,0.18,546
bscwweasel.csv,0.27,0.45,0.17,536
buddata-ebxml-registry.csv,0.97,0.38,0.94,31
bullet.csv,0.61,0.38,0.57,177
bulmages.csv,0.18,0.33,0.13,420
bwapi.csv,0.96,0.37,0.96,14
bzbyte.csv,0.22,0.08,0.18,126
calcubetimer.csv,0.71,0.39,0.6,209
carabiner.csv,0.69,0.44,0.52,350
cascading.csv,0.69,0.43,0.53,322
chaosrts.csv,0.53,0.41,0.43,326
chaperon.csv,0.41,0.35,0.44,187
chrysalis.csv,0.48,0.49,0.29,554
cities3d.csv,0.27,0.36,0.21,405
clamav.csv,0.74,0.41,0.6,247
cleartk.csv,0.74,0.4,0.65,180
cme.csv,0.0,0.0,0.0,141
co-ode-owl-plugins.csv,0.5,0.41,0.46,266
codepurge.csv,0.53,0.44,0.41,399
codesmith.csv,0.64,0.37,0.65,97
columba.csv,0.64,0.45,0.45,422
continuum-ide.csv,0.17,0.4,0.16,442
coot.csv,0.5,0.34,0.48,185
cornerstone.csv,0.26,0.53,0.12,605
cortex-vfx.csv,0.4,0.5,0.24,571
crisscross.csv,0.94,0.38,0.9,42
critterding.csv,0.88,0.38,0.86,49
crux-framework.csv,0.27,0.41,0.22,440
ctrlr.csv,0.22,0.27,0.33,126
cubefs.csv,0.53,0.39,0.48,245
cuberok.csv,0.56,0.43,0.47,311
customsagetv.csv,0.15,0.5,0.09,587
customwars.csv,0.52,0.48,0.33,527
dataobjectsdotnet.csv,0.65,0.4,0.55,244
decidr.csv,0.86,0.39,0.81,78
delphilhlplib.csv,0.67,0.42,0.53,292
doomlegacy.csv,0.72,0.45,0.6,272
dspace-gsoc.csv,0.71,0.44,0.57,287
dvt.csv,0.31,0.43,0.24,465
dynalloy.csv,0.64,0.39,0.61,156
e-bio-flow.csv,0.32,0.47,0.18,566
echongl.csv,0.5,0.42,0.42,331
elateportal.csv,0.58,0.4,0.5,260
elmo.csv,0.29,0.43,0.24,446
elvishrayrenderer.csv,0.35,0.38,0.33,303
emeraldemu.csv,0.43,0.48,0.31,500
emftriple.csv,0.15,0.25,0.23,189
emisview.csv,0.2,0.44,0.12,542
emite.csv,0.27,0.45,0.2,510
emono.csv,0.69,0.39,0.67,116
empserver.csv,0.76,0.39,0.69,131
empyrean.csv,0.0,0.0,0.0,141
emulemorph.csv,0.03,0.23,0.01,375
encog-cs.csv,0.79,0.36,0.79,55
encog-java.csv,0.08,0.39,0.05,517
enlightenment.csv,1.0,0.38,1.0,10
enzo.csv,0.94,0.37,0.92,26
etherboot.csv,0.45,0.15,0.28,207
exist.csv,0.94,0.39,0.91,39
exl.csv,0.5,0.4,0.45,272
exordium.csv,0.63,0.47,0.44,451
factor.csv,0.15,0.43,0.09,539
fbmanager.csv,0.0,0.0,0.0,141
fceugc.csv,0.4,0.38,0.39,264
ffigo.csv,0.2,0.38,0.18,421
fido.csv,0.0,0.0,0.0,141
findbugs.csv,0.61,0.43,0.47,355
firebird.csv,0.83,0.43,0.68,221
firebreath.csv,0.56,0.48,0.37,508
fityk.csv,0.65,0.44,0.5,351
fleet-simulator.csv,0.88,0.39,0.78,105
flexpay.csv,0.43,0.38,0.4,269
fltk.csv,0.61,0.44,0.47,368
fluent-nhibernate.csv,0.33,0.49,0.2,568
fluidium.csv,0.02,0.13,0.02,249
flylegacy.csv,0.57,0.42,0.42,388
flylinkdc.csv,0.82,0.39,0.74,113
fm-classic.csv,0.1,0.45,0.07,551
fmri-dmt.csv,0.59,0.34,0.69,43
fontforge.csv,0.92,0.4,0.84,84
forester-atv.csv,0.17,0.4,0.13,481
