,recall,precision,pf,wins
abbot.csv,0.82,0.41,0.71,168
acegisecurity.csv,0.64,0.44,0.48,374
adaptagrams.csv,0.4,0.5,0.22,585
adobe-source.csv,0.5,0.45,0.37,427
adonthell.csv,0.52,0.39,0.47,258
agilitybook.csv,0.41,0.4,0.38,298
aime.csv,0.3,0.34,0.29,287
alembik.csv,0.27,0.55,0.13,607
algebsql.csv,0.38,0.33,0.5,93
alleg.csv,0.49,0.4,0.42,298
alsa.csv,0.67,0.44,0.51,345
amanda.csv,0.53,0.44,0.42,379
ambulant.csv,0.65,0.39,0.63,142
anaxagora.csv,0.62,0.42,0.48,328
apertium.csv,0.36,0.4,0.3,383
apolloplayer.csv,0.57,0.41,0.43,356
applet2app.csv,0.58,0.5,0.35,550
arcallians.csv,0.66,0.44,0.51,337
ardour.csv,0.5,0.51,0.3,570
arianne.csv,0.95,0.38,0.93,27
arm-webradio.csv,0.39,0.4,0.37,298
array4j.csv,0.59,0.36,0.63,92
arsenal-1.csv,0.25,0.47,0.18,533
atlc.csv,0.69,0.38,0.68,106
atomsite.csv,0.72,0.41,0.64,192
atunes.csv,0.61,0.43,0.47,348
auber.csv,0.8,0.41,0.72,143
aubit4gl.csv,0.14,0.4,0.13,452
aufs.csv,0.27,0.32,0.26,285
autofac.csv,0.58,0.45,0.44,391
autoopencas.csv,0.3,0.27,0.45,66
autowikibrowser.csv,0.67,0.46,0.47,417
avifile.csv,0.45,0.36,0.5,152
awemud.csv,0.57,0.45,0.39,445
aztec.csv,0.36,0.5,0.21,582
azureus.csv,0.86,0.39,0.81,79
baadengine.csv,0.89,0.41,0.77,135
bacnet.csv,0.45,0.45,0.32,465
bacula.csv,0.73,0.42,0.59,268
badtrinity-zero.csv,0.44,0.44,0.32,443
badtrinitycore.csv,0.34,0.44,0.25,476
barracudamvc.csv,0.93,0.35,0.97,0
beast-mcmc.csv,0.73,0.45,0.56,326
benojt.csv,1.0,0.38,1.0,8
betoffice.csv,0.71,0.33,0.83,1
bibedt.csv,0.54,0.44,0.39,416
bibletime.csv,0.7,0.43,0.54,309
bigdata.csv,0.43,0.41,0.37,339
biodwh.csv,0.31,0.5,0.16,596
bionote.csv,0.35,0.5,0.19,589
biopax.csv,1.0,0.38,1.0,8
bl-toolkit.csv,0.7,0.38,0.72,83
blogentis.csv,0.52,0.37,0.64,67
bloodycore.csv,0.21,0.4,0.18,433
blue-c.csv,0.76,0.42,0.64,221
bnetd.csv,0.77,0.39,0.7,128
bochs.csv,0.71,0.39,0.62,189
boost-sandbox.csv,0.56,0.38,0.54,187
botsnscouts.csv,0.63,0.46,0.43,444
brlcad.csv,0.28,0.46,0.18,541
bscwweasel.csv,0.27,0.46,0.18,535
buddata-ebxml-registry.csv,0.97,0.38,0.94,28
bullet.csv,0.61,0.39,0.57,191
bulmages.csv,0.18,0.33,0.13,408
bzbyte.csv,0.21,0.08,0.17,136
calcubetimer.csv,0.73,0.4,0.63,202
capcode.csv,0.57,0.38,0.57,158
carabiner.csv,0.69,0.44,0.52,345
chaosrts.csv,0.53,0.42,0.42,350
chaperon.csv,0.41,0.35,0.44,190
checker-framework.csv,0.86,0.38,0.81,72
chipster.csv,0.15,0.38,0.12,451
chrysalis.csv,0.48,0.49,0.29,552
cities3d.csv,0.27,0.38,0.2,425
clamav.csv,0.74,0.41,0.6,248
cleartk.csv,0.73,0.4,0.65,175
cme.csv,0.0,0.0,0.0,145
co-ode-owl-plugins.csv,0.5,0.41,0.45,281
codeblocks.csv,0.63,0.46,0.41,477
codepurge.csv,0.53,0.45,0.41,394
codesmith.csv,0.63,0.37,0.65,101
columba.csv,0.64,0.45,0.45,414
continuum-ide.csv,0.18,0.42,0.16,467
coot.csv,0.5,0.34,0.48,182
cornerstone.csv,0.27,0.52,0.12,605
cortex-vfx.csv,0.39,0.5,0.24,566
crisscross.csv,0.93,0.38,0.9,41
critterding.csv,0.88,0.38,0.85,57
crux-framework.csv,0.28,0.42,0.23,435
ctrlr.csv,0.23,0.28,0.34,134
cubefs.csv,0.54,0.39,0.5,227
cuberok.csv,0.56,0.42,0.45,328
customsagetv.csv,0.15,0.5,0.09,589
customwars.csv,0.53,0.49,0.33,539
dataobjectsdotnet.csv,0.64,0.4,0.54,255
decidr.csv,0.86,0.39,0.81,79
delphilhlplib.csv,0.67,0.43,0.52,318
doomlegacy.csv,0.72,0.45,0.59,283
dsworkbench.csv,0.08,0.33,0.07,419
dvd-create.csv,0.73,0.42,0.6,255
dvt.csv,0.3,0.42,0.24,435
dxengine.csv,0.34,0.38,0.31,325
dynalloy.csv,0.64,0.39,0.6,172
e-bio-flow.csv,0.32,0.47,0.19,556
elateportal.csv,0.57,0.4,0.5,260
electric-core.csv,0.76,0.43,0.6,280
elmo.csv,0.29,0.44,0.23,469
elvishrayrenderer.csv,0.35,0.38,0.33,305
emeraldemu.csv,0.45,0.48,0.3,521
emftriple.csv,0.15,0.27,0.24,201
emisview.csv,0.2,0.44,0.11,551
emite.csv,0.27,0.45,0.19,517
emono.csv,0.69,0.4,0.67,126
empserver.csv,0.76,0.39,0.67,163
empyrean.csv,0.0,0.0,0.0,145
emulemorph.csv,0.02,0.21,0.01,335
encog-cs.csv,0.78,0.37,0.79,58
encog-java.csv,0.08,0.4,0.05,522
enlightenment.csv,1.0,0.38,1.0,8
enzo.csv,0.94,0.38,0.92,31
esmf.csv,0.67,0.42,0.57,255
etherboot.csv,0.46,0.16,0.29,213
etics.csv,0.4,0.53,0.21,602
exl.csv,0.5,0.41,0.46,274
exordium.csv,0.62,0.46,0.44,424
extprosys.csv,0.78,0.38,0.75,89
factor.csv,0.15,0.43,0.09,543
fbmanager.csv,0.01,0.04,0.0,185
fceugc.csv,0.41,0.38,0.4,266
ffigo.csv,0.2,0.38,0.17,420
fido.csv,0.0,0.0,0.0,145
findbugs.csv,0.61,0.43,0.46,369
firebird.csv,0.83,0.43,0.68,222
firebreath.csv,0.55,0.47,0.37,485
fityk.csv,0.65,0.44,0.49,363
fleet-simulator.csv,0.87,0.4,0.78,111
flexpay.csv,0.42,0.38,0.4,271
fltk.csv,0.61,0.44,0.47,363
fluent-nhibernate.csv,0.32,0.5,0.2,572
fluidium.csv,0.02,0.13,0.02,256
flylegacy.csv,0.57,0.43,0.42,390
