,powerfolder-.csv,nuttx.csv,hatari.csv,plee-the-bear.csv,ns-3.csv,theresa.csv,hazelcast.csv,fontforge.csv,pfaedit.csv,grafx2.csv,jmol.csv,qtwin.csv,freebios.csv,mbse.csv,bnetd.csv,clamav.csv
bnetd.csv,0.0,0.0,0.0,553.0,1.0,49.0,2.0,54.0,88.0,1.0,123.0,2488.0,0.0,262.0,0.0,3.0
clamav.csv,1.0,0.0,0.0,58.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,1950.0,1.0,0.0,0.0,0.0
fontforge.csv,104.0,222.0,64.0,553.0,222.0,52.0,64.0,54.0,88.0,80.0,123.0,2488.0,99.0,262.0,73.0,55.0
freebios.csv,19.0,0.0,1.0,96.0,0.0,4.0,2.0,13.0,1.0,0.0,0.0,1950.0,0.0,0.0,1.0,3.0
grafx2.csv,6.0,0.0,1.0,28.0,0.0,37.0,0.0,54.0,88.0,0.0,0.0,2488.0,2.0,1.0,0.0,0.0
hatari.csv,4.0,0.0,0.0,553.0,0.0,48.0,0.0,54.0,88.0,0.0,123.0,2488.0,99.0,262.0,0.0,3.0
hazelcast.csv,1.0,0.0,2.0,79.0,1.0,48.0,0.0,54.0,88.0,1.0,0.0,2488.0,6.0,5.0,0.0,4.0
jmol.csv,1.0,0.0,1.0,58.0,0.0,49.0,0.0,54.0,88.0,2.0,0.0,2488.0,1.0,0.0,1.0,13.0
mbse.csv,0.0,0.0,0.0,42.0,2.0,49.0,0.0,54.0,88.0,0.0,123.0,2488.0,3.0,0.0,0.0,9.0
ns-3.csv,1.0,0.0,1.0,13.0,0.0,49.0,0.0,54.0,88.0,2.0,0.0,2488.0,1.0,5.0,1.0,13.0
nuttx.csv,1.0,0.0,1.0,58.0,0.0,11.0,4.0,1.0,1.0,2.0,1.0,1950.0,1.0,0.0,1.0,13.0
pfaedit.csv,1.0,0.0,1.0,58.0,0.0,49.0,0.0,0.0,1.0,2.0,1.0,19.0,1.0,0.0,1.0,13.0
plee-the-bear.csv,1.0,0.0,1.0,553.0,222.0,21.0,0.0,54.0,88.0,80.0,123.0,2488.0,99.0,262.0,0.0,0.0
powerfolder-.csv,2.0,0.0,0.0,553.0,222.0,33.0,0.0,54.0,88.0,0.0,123.0,2488.0,99.0,262.0,0.0,55.0
qtwin.csv,104.0,222.0,64.0,553.0,222.0,52.0,64.0,54.0,88.0,80.0,123.0,2488.0,99.0,262.0,73.0,55.0
theresa.csv,104.0,222.0,64.0,553.0,222.0,0.0,64.0,54.0,88.0,80.0,123.0,2488.0,99.0,262.0,73.0,55.0
