,powerfolder-.csv,nuttx.csv,hatari.csv,plee-the-bear.csv,ns-3.csv,theresa.csv,hazelcast.csv,fontforge.csv,pfaedit.csv,grafx2.csv,jmol.csv,qtwin.csv,freebios.csv,mbse.csv,bnetd.csv,clamav.csv
bnetd.csv,0.95,0.94,0.56,1.0,0.98,1.0,0.33,1.0,1.0,0.62,1.0,1.0,0.96,1.0,0.36,0.68
clamav.csv,0.77,0.82,0.56,1.0,0.95,0.26,0.97,1.0,1.0,0.53,1.0,1.0,0.98,1.0,0.76,0.16
fontforge.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
freebios.csv,0.87,0.7,0.68,0.6,0.6,0.67,0.37,0.97,1.0,0.54,0.83,1.0,0.37,0.93,0.66,0.67
grafx2.csv,0.48,0.86,0.67,0.52,0.82,0.76,0.6,1.0,1.0,0.3,0.81,1.0,0.8,0.73,0.82,0.75
hatari.csv,0.69,0.92,0.45,1.0,0.99,0.98,0.92,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.95,0.91
hazelcast.csv,0.92,0.86,0.67,0.5,0.61,0.98,0.0,1.0,1.0,0.47,0.58,1.0,0.85,0.6,0.61,0.7
jmol.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0
mbse.csv,0.99,1.0,0.92,0.44,0.59,1.0,0.8,1.0,1.0,0.39,1.0,1.0,0.78,0.86,0.81,0.86
ns-3.csv,1.0,1.0,1.0,0.69,0.74,1.0,0.9,1.0,1.0,1.0,0.72,1.0,0.92,0.92,1.0,1.0
nuttx.csv,0.96,0.9,1.0,1.0,1.0,0.71,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pfaedit.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.51,1.0,1.0,0.67,1.0,1.0,1.0,1.0
plee-the-bear.csv,0.49,0.96,0.83,1.0,1.0,0.44,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.9
powerfolder-.csv,0.43,0.93,0.77,1.0,1.0,0.68,0.73,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.85,1.0
qtwin.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
theresa.csv,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
