,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.54,0.58,0.55,0.67
jlinalg.csv,0.44,0.59,0.58,0.61
qmmp.csv,0.44,0.45,0.55,0.57
yale.csv,0.6,0.95,0.65,0.84
