,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.52,0.39,0.58,0.72
jlinalg.csv,0.3,0.68,0.76,0.57
qmmp.csv,0.32,0.89,0.52,0.4
yale.csv,0.82,0.72,0.56,0.82
