,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,cortex-vfx.csv,wikipediardware.csv
cortex-vfx.csv,0.93,0.16,0.21,0.75,0.73,0.82,0.44,0.4,0.92
empserver.csv,0.73,0.2,0.12,0.68,0.71,0.66,0.49,0.22,0.88
enlightenment.csv,0.66,0.23,0.13,0.72,0.52,0.66,0.43,0.22,0.73
ildjit.csv,0.68,0.51,0.17,0.6,0.55,0.58,0.35,0.19,0.73
jfreereport.csv,0.83,0.05,0.25,0.74,0.6,0.85,0.52,0.48,1.0
lufa-lib.csv,0.61,0.21,0.22,0.63,0.67,0.68,0.64,0.46,0.77
pcsx2.csv,0.78,0.11,0.19,0.65,0.53,0.81,0.43,0.22,0.79
psycle.csv,0.79,0.14,0.18,0.65,0.57,0.74,0.45,0.27,0.88
wikipediardware.csv,0.75,0.16,0.13,0.63,0.51,0.68,0.4,0.23,0.93
