,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.94,0.7,0.65,0.54,0.6,0.54,0.91,0.45,0.54,0.71
fritzing.csv,0.49,0.47,0.4,0.51,0.3,0.63,0.9,0.63,0.59,0.65
jlinalg.csv,0.18,0.77,0.86,0.76,0.52,0.45,0.95,0.85,0.66,0.72
knowledge.csv,0.26,0.58,0.62,0.8,0.16,0.63,0.83,0.74,0.51,0.73
massiv.csv,0.88,0.7,0.66,1.0,1.0,0.03,1.0,0.47,1.0,1.0
multitude.csv,0.87,0.58,0.7,0.75,0.63,0.64,0.78,0.7,0.8,0.41
playerstage.csv,0.52,0.6,0.61,0.34,0.33,0.57,0.9,0.48,0.63,0.59
quarkplusplus.csv,0.32,0.63,0.64,0.65,0.5,0.31,0.9,0.63,0.45,0.69
rtrt-on-gpu.csv,1.0,0.85,0.72,0.76,0.89,1.06,0.33,0.99,0.8,0.79
superwaba.csv,0.49,0.32,0.55,0.5,0.44,0.56,0.7,0.74,0.58,0.62
