,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.93,0.88,0.65,0.55,0.86,0.79,0.17,0.78,0.79,0.87,0.97,0.96,0.96,0.89,0.85
continuum-ide.csv,0.78,0.82,0.85,1.02,0.9,0.96,1.0,0.35,0.95,0.76,0.65,0.88,0.93,0.89,0.74
fleet-simulator.csv,0.7,0.63,0.76,0.95,0.98,1.0,0.61,1.0,0.89,0.93,0.88,1.02,0.04,0.71,0.95
hydrate.csv,0.94,0.81,0.76,1.0,0.86,1.01,1.0,0.66,0.89,0.87,0.85,0.93,0.63,0.93,0.62
ivef-sdk.csv,0.78,0.57,0.63,0.75,0.74,0.0,0.95,0.81,0.86,0.59,1.0,1.11,1.33,0.89,0.97
jmri.csv,0.67,0.83,0.47,0.93,0.96,0.45,0.72,0.56,0.89,0.89,0.45,0.71,0.96,0.86,0.79
kdenlive.csv,0.44,0.83,0.64,0.95,0.57,1.06,0.54,0.8,0.99,0.98,0.83,0.54,0.17,0.62,0.79
mia.csv,0.92,0.88,0.87,0.89,0.75,0.55,1.0,0.77,0.43,0.97,0.59,0.78,0.57,1.0,0.79
ontopia.csv,0.73,0.83,0.63,0.73,0.83,1.06,0.84,0.79,0.83,0.29,0.97,0.9,0.94,0.8,0.8
opentibia.csv,0.73,0.32,0.68,0.65,0.69,0.96,0.89,0.72,0.95,0.69,0.74,0.78,1.09,0.92,0.64
runuomondains.csv,0.5,0.55,0.58,0.97,0.88,1.29,0.83,0.56,0.63,0.71,0.22,0.64,1.14,0.91,0.72
somap.csv,0.93,0.92,0.82,0.85,0.79,1.08,0.83,1.0,0.92,1.03,0.94,0.17,1.0,0.95,1.0
taverna.csv,0.82,0.85,0.9,0.89,0.32,0.91,0.57,1.0,0.51,0.89,0.88,0.89,0.7,0.93,0.97
tigermud.csv,0.91,0.8,0.78,0.53,0.62,1.0,0.94,0.78,0.8,0.89,0.8,0.71,1.14,0.54,0.77
x-ray-mule.csv,0.77,0.8,0.84,0.24,0.74,1.0,0.99,0.83,0.95,0.61,1.0,0.81,1.13,0.76,1.0
