,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,1.0
columba.csv,0.73,0.66,0.33,0.45,0.32,0.48,0.04,0.75,0.25,0.36,0.95,0.22,0.6,0.15
encog-cs.csv,0.58,0.71,0.19,0.98,0.25,0.35,0.06,0.34,0.16,0.19,0.45,0.24,0.66,0.1
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0
flexpay.csv,0.3,0.34,0.0,0.08,0.92,0.12,0.0,0.14,0.0,0.36,0.36,0.19,0.24,0.0
fluent-nhibernate.csv,0.38,0.0,0.06,0.09,0.18,0.0,0.0,0.08,0.0,0.97,0.06,0.0,0.2,0.0
geochat.csv,0.38,0.6,0.28,0.47,0.16,0.49,0.0,0.73,0.32,0.12,0.42,0.97,0.59,0.21
gpsmid.csv,0.98,0.43,0.3,0.36,0.31,0.45,0.09,0.71,0.27,0.32,0.47,0.43,0.65,0.0
k3d.csv,0.04,0.0,0.98,0.0,0.09,0.14,0.0,0.14,0.0,0.16,0.1,0.0,0.15,0.0
m-a-d-n-e-s-s.csv,0.31,0.11,0.26,0.35,0.18,1.0,0.0,0.38,0.1,0.2,0.22,0.21,0.29,0.17
mob-sen-plat.csv,0.44,0.97,0.28,0.33,0.27,0.29,0.1,0.55,0.06,0.15,0.35,0.32,0.74,0.0
ninject.csv,0.33,0.1,0.2,0.38,0.2,0.26,0.02,0.25,1.0,0.37,0.35,0.15,0.55,0.29
uface.csv,0.74,0.75,0.25,0.5,0.29,0.46,0.09,0.96,0.2,0.19,0.48,0.42,1.0,0.21
v8.csv,0.7,0.76,0.27,0.52,0.28,0.47,0.08,1.0,0.16,0.16,0.45,0.35,0.78,0.19
