,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,270.5,95.5,196.0,281.5,468.5,281.5,98.5,99.0,468.5,274.5,98.5
gabel.csv,175.0,95.5,196.0,188.0,366.0,268.5,292.0,96.5,74.5,375.0,98.5
javaprofiler.csv,190.0,95.5,196.0,377.0,566.0,376.0,197.5,99.0,182.0,473.5,98.5
jmoney.csv,97.5,97.5,97.5,282.5,362.0,274.5,98.5,99.0,256.5,379.0,98.5
mycila.csv,97.5,99.0,97.5,567.0,563.0,188.0,89.5,99.0,464.5,371.0,98.5
neodatis-odb.csv,97.5,99.0,193.0,90.5,666.0,265.5,94.5,99.0,70.5,381.0,96.5
servicestack.csv,25.5,54.5,95.5,333.5,129.0,430.5,292.0,90.5,339.0,91.5,64.5
sqlpower-library.csv,97.5,97.5,194.0,374.0,650.5,281.5,197.5,99.0,277.5,284.5,97.5
synecdoche.csv,97.5,99.0,97.5,567.0,567.5,258.5,98.5,99.0,468.5,184.0,98.5
tmva.csv,97.5,99.0,196.0,281.5,759.5,282.5,197.5,99.0,564.0,282.5,98.5
unicase.csv,97.5,99.0,95.5,281.5,563.0,448.5,197.5,99.0,66.5,379.0,98.5
