,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.44,0.48,0.47,0.34
neoengine.csv,0.47,0.48,0.43,0.37
omseek.csv,0.93,0.64,0.59,0.86
pcsx2.csv,0.58,0.58,0.46,0.74
