,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.47,0.42,0.58,0.0,0.41,0.36,0.83,0.5,0.0,0.86,0.59,0.64,0.37
bibletime.csv,0.41,0.42,0.39,0.47,0.39,0.34,0.38,0.45,0.41,0.34,0.33,0.63,0.37
boost.csv,0.45,0.56,0.42,0.44,0.53,0.45,0.38,0.54,0.43,0.38,0.38,0.56,0.37
codepurge.csv,0.64,0.51,0.57,0.37,0.57,0.39,0.74,0.98,0.41,0.54,0.67,0.66,0.76
etics.csv,0.5,0.63,0.47,0.5,0.93,0.43,0.57,0.84,0.48,0.45,0.73,0.81,0.43
gusanos.csv,0.48,0.49,0.49,0.41,0.93,0.35,0.37,0.46,0.39,0.52,0.34,0.45,0.39
kvs.csv,0.5,0.58,0.95,0.71,0.59,0.67,0.91,0.5,0.56,0.52,0.38,0.0,0.93
mcore3d.csv,0.67,0.66,0.43,0.43,0.41,0.48,0.49,0.97,0.5,0.34,0.5,0.7,0.45
modellus.csv,0.64,0.66,0.52,0.45,0.86,0.53,0.42,0.53,0.46,0.91,0.51,0.5,0.42
monetdb.csv,0.5,0.59,0.44,0.94,0.83,0.41,0.47,0.64,0.72,0.56,0.44,0.59,0.75
projecteqemu.csv,0.52,0.67,0.63,0.41,0.8,0.42,0.71,0.62,0.53,0.47,0.4,0.92,0.45
pydev.csv,0.45,0.59,0.86,0.59,0.41,0.47,0.94,0.93,0.8,0.35,0.46,0.69,0.37
xbplayer.csv,0.67,0.43,0.55,0.49,0.88,0.56,0.5,0.46,0.53,0.36,0.34,0.47,0.41
