,f1,g,recall,precision,pf,wins
badtrinity-zero.csv,0.48,0.46,0.43,0.42,0.33,1
bibletime.csv,0.57,0.63,0.68,0.49,0.45,8
boost.csv,0.62,0.63,0.69,0.56,0.36,11
codepurge.csv,0.44,0.43,0.39,0.51,0.27,2
etics.csv,0.59,0.59,0.55,0.61,0.19,12
gusanos.csv,0.53,0.65,0.69,0.47,0.36,9
kvs.csv,0.42,0.4,0.36,0.47,0.29,0
mcore3d.csv,0.5,0.54,0.51,0.5,0.29,6
modellus.csv,0.52,0.58,0.55,0.53,0.35,7
monetdb.csv,0.41,0.42,0.37,0.57,0.22,3
projecteqemu.csv,0.49,0.44,0.46,0.52,0.28,5
pydev.csv,0.41,0.38,0.33,0.59,0.14,4
xbplayer.csv,0.56,0.59,0.55,0.56,0.25,10
