,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.78,0.53,0.51,0.39,0.15
lcfizvtop.csv,0.4,0.6,0.33,0.36,0.53
migen.csv,0.27,0.68,0.19,0.27,0.27
mvnforum.csv,0.08,0.34,0.55,0.37,0.1
plplot.csv,0.63,0.57,0.4,0.58,0.38
