,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.11,0.09,0.0,0.12,0.0,0.39,0.19,0.0,0.0,0.24,0.95,0.13,0.19,0.3
codeblocks.csv,0.42,0.56,0.15,0.39,0.67,0.34,0.28,0.99,0.47,0.47,0.27,0.28,0.21,0.86
ctrlr.csv,0.04,0.05,0.0,0.0,0.01,0.14,0.0,0.05,0.0,0.07,0.09,0.89,0.0,0.02
dvt.csv,0.26,0.48,0.1,0.3,0.2,0.23,0.98,0.44,0.0,0.33,0.31,0.19,0.0,0.43
flylinkdc.csv,0.99,0.32,0.11,0.28,0.26,0.39,0.24,0.47,0.42,0.27,0.32,0.33,0.18,0.51
kowari.csv,0.55,0.15,0.15,0.21,0.02,0.28,0.25,0.57,0.0,0.43,0.22,0.19,1.0,0.46
ldview.csv,0.39,0.6,0.16,0.49,0.9,0.37,0.27,0.64,0.27,0.95,0.29,0.07,0.18,0.73
maidsafe-dht.csv,0.36,0.15,0.19,0.24,0.27,0.8,0.19,0.43,0.0,0.39,0.25,0.19,0.26,0.22
n2cms.csv,0.46,0.61,0.21,1.0,0.77,0.41,0.4,0.59,0.53,0.36,0.37,0.22,0.13,0.62
nuttx.csv,0.43,0.61,0.16,0.55,0.99,0.3,0.53,0.7,0.4,0.47,0.3,0.2,0.14,0.67
rtb-team.csv,0.45,0.31,0.16,0.34,0.16,0.4,0.17,0.41,0.89,0.44,0.38,0.07,0.21,0.22
super-tux.csv,0.43,0.68,0.15,0.49,0.9,0.32,0.49,0.85,0.45,0.53,0.35,0.42,0.15,1.0
vdsf.csv,0.42,0.65,0.81,0.54,0.41,0.3,0.47,0.79,0.46,0.47,0.4,0.33,0.09,0.84
xbrlapi.csv,0.28,0.98,0.16,0.38,0.88,0.28,0.37,0.62,0.32,0.4,0.41,0.35,0.12,0.45
