,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.14,0.02,0.0,0.01,0.0,0.18,0.05,0.0,0.0,0.03,0.0,0.12,0.15,0.0
codeblocks.csv,0.66,0.3,0.98,0.19,0.67,0.5,0.26,0.05,0.38,0.57,0.46,0.49,0.36,0.6
ctrlr.csv,0.09,0.02,0.0,0.03,0.03,0.2,0.01,0.13,0.0,0.16,0.01,0.0,0.06,0.0
dvt.csv,0.3,0.45,0.17,0.26,0.1,0.42,0.01,0.21,0.11,0.24,0.42,0.29,0.06,0.4
flylinkdc.csv,0.0,0.25,0.2,0.26,0.28,0.18,0.38,0.13,0.11,0.14,0.26,0.32,0.29,0.8
kowari.csv,0.08,0.22,0.06,0.04,0.03,0.18,0.29,0.41,0.05,0.51,0.14,0.14,0.0,0.2
ldview.csv,0.6,0.6,1.0,0.53,1.0,0.5,0.81,0.44,0.11,0.0,0.54,0.14,0.71,0.6
maidsafe-dht.csv,0.08,0.15,0.19,0.14,0.18,0.02,0.14,0.36,0.03,0.11,0.09,0.12,0.17,0.0
n2cms.csv,0.36,0.38,0.33,0.0,0.72,0.22,0.29,0.38,0.19,0.41,0.4,0.34,0.47,0.2
nuttx.csv,0.81,0.82,0.43,0.54,0.03,0.62,0.47,0.38,0.68,0.41,0.52,0.39,0.91,0.2
rtb-team.csv,0.21,0.18,0.24,0.28,0.15,0.23,0.21,0.08,0.0,0.11,0.28,0.14,0.35,0.0
super-tux.csv,0.99,0.8,1.0,0.57,1.0,0.98,0.86,1.0,1.0,1.0,0.98,1.0,1.0,0.0
vdsf.csv,0.79,0.75,0.03,0.7,0.31,0.8,0.68,0.62,0.95,0.76,0.68,0.83,0.71,0.8
xbrlapi.csv,0.43,0.0,0.68,0.38,0.97,0.38,0.45,0.56,0.86,0.84,0.56,0.61,0.49,0.6
