,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv
acegisecurity.csv,0.53,0.69,0.72,0.43,0.29,0.4,0.6,0.59,0.38
gdis.csv,0.58,0.63,0.59,0.42,0.68,0.47,0.32,0.42,0.81
kml.csv,0.65,0.09,0.6,0.57,0.76,0.46,0.49,0.27,0.69
ppcboot.csv,0.41,0.58,0.27,0.61,0.21,0.21,0.61,0.61,0.0
repositorium.csv,0.05,0.02,0.02,0.04,0.1,0.86,0.07,0.28,0.17
rsyslog.csv,0.83,0.53,0.72,0.5,0.46,0.47,0.51,0.42,0.66
ultimairis.csv,0.72,0.36,0.72,0.4,0.3,0.22,0.72,0.64,0.58
wow-qrsk.csv,0.1,0.53,0.82,0.34,0.36,0.0,0.02,0.15,0.21
xbg.csv,0.31,0.06,0.07,0.6,0.2,0.11,0.5,0.92,0.09
