,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.08,0.36,0.5,0.39,0.72,0.77,0.39,0.6,0.17,0.05,0.37,0.4,0.84,0.8,0.04
amateur-scrolls.csv,0.17,0.0,0.45,0.48,0.86,0.89,0.44,0.89,0.1,0.02,0.49,0.33,0.89,0.93,0.02
biopax.csv,0.08,0.48,0.28,0.3,0.58,0.77,0.32,0.57,0.13,0.04,0.39,0.36,0.97,0.76,0.03
crux-framework.csv,0.08,0.9,0.23,0.23,0.6,0.87,0.48,0.62,0.0,0.08,0.43,0.19,0.62,0.83,0.2
exl.csv,0.12,0.5,0.24,0.37,0.62,0.81,0.32,0.72,0.07,0.03,0.43,0.53,0.85,1.0,0.03
ikvm.csv,0.05,0.8,0.25,0.22,0.5,0.76,0.33,0.34,0.12,0.01,0.3,0.24,0.68,0.45,0.02
irrlicht.csv,0.08,0.42,0.28,0.3,0.57,0.81,0.31,0.58,0.13,0.0,0.39,0.36,0.78,0.76,0.03
les-indemodables.csv,0.09,0.37,0.27,0.38,0.79,0.81,0.37,0.81,0.14,0.04,0.42,0.55,0.9,0.91,0.02
lportal.csv,0.14,0.67,0.36,0.0,1.0,0.75,0.0,0.89,0.17,0.15,0.5,0.5,1.0,0.88,0.17
ns-3-dev-def-routing.csv,0.13,0.47,0.28,0.45,0.83,0.83,0.42,0.81,0.14,0.05,0.54,0.4,0.96,0.89,0.03
qpe.csv,0.18,0.7,0.33,0.38,0.58,0.81,0.33,0.65,0.5,0.08,0.42,0.22,0.69,1.0,0.06
sigil.csv,0.16,0.43,0.38,0.34,0.82,0.82,0.36,0.82,0.22,0.06,0.44,0.47,0.95,0.83,0.03
ultimairis.csv,0.09,0.44,0.31,0.58,0.62,0.81,0.6,0.8,0.17,0.04,0.43,0.0,0.85,0.8,0.04
unflobtactical.csv,0.15,0.57,0.29,0.35,0.76,0.84,0.33,0.8,0.13,0.05,0.45,0.38,0.85,0.83,0.03
xbg.csv,0.04,0.4,0.14,0.19,0.5,0.74,0.49,0.42,0.35,0.02,0.26,0.28,0.62,0.4,0.0
