,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.79,0.58,0.61,1.0,0.96,0.82
kmess.csv,0.89,0.36,0.37,0.84,0.42,0.99
minig.csv,0.42,0.71,0.96,0.31,0.42,0.7
ossbuild.csv,0.05,0.44,0.48,0.97,0.11,0.34
rezilla.csv,0.89,0.73,0.96,0.47,0.87,0.83
webdriver.csv,0.0,0.98,0.46,0.34,0.4,0.46
