,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.09,0.83,0.98,0.24,0.55,0.66,1.0
gstreamer.csv,0.11,0.43,0.44,0.39,0.5,0.99,0.98
ifmo-game-1.csv,1.0,0.0,1.0,0.0,0.0,0.0,0.0
pi-qmc.csv,0.15,0.5,0.47,0.38,1.0,0.82,0.96
quarkplusplus.csv,0.05,1.0,0.47,0.32,0.64,0.77,0.91
xapian.csv,0.12,0.59,0.44,1.0,0.48,0.69,0.99
zemljanka.csv,0.08,0.43,0.44,0.23,0.28,0.58,1.0
