,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.08,0.08,0.08,0.01,0.0,0.15,0.06,0.11,0.0,0.15,0.08,0.3,0.0
biopax.csv,1.0,1.0,0.88,0.94,0.77,1.0,0.96,1.0,0.77,1.0,0.96,1.0,0.6
gdis.csv,0.71,0.75,0.12,0.27,0.72,0.26,0.11,0.65,0.23,0.71,0.73,0.77,0.3
kml.csv,0.33,0.99,0.84,0.29,0.18,0.95,0.99,0.98,0.23,0.97,0.94,1.0,1.0
ppcboot.csv,0.96,0.92,0.87,0.45,0.9,0.88,0.8,0.93,0.85,1.0,1.0,1.0,0.9
repositorium.csv,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.42,0.08,0.73,0.1,0.57,0.25
rsyslog.csv,0.29,0.89,0.66,0.62,0.18,0.93,0.89,0.84,0.31,1.0,0.9,1.0,0.8
simplewebservices.csv,0.88,0.89,0.56,0.97,0.85,0.81,0.61,0.33,0.62,0.03,0.57,0.26,0.15
ultimairis.csv,0.5,1.0,0.57,0.16,0.15,0.41,0.1,0.71,0.31,0.34,0.35,0.73,0.05
wow-qrsk.csv,0.0,0.26,0.07,0.0,0.0,0.0,0.0,0.02,0.0,0.19,0.0,0.05,0.0
wxstudio.csv,0.79,0.27,0.84,0.95,0.51,0.42,0.79,0.04,0.85,0.05,0.27,0.03,0.65
xbg.csv,0.83,0.05,0.48,0.65,0.38,0.24,0.18,0.02,0.77,0.35,0.51,0.45,0.3
xqilla.csv,0.0,0.38,0.43,0.03,0.1,0.64,0.38,0.05,0.31,0.0,0.18,0.04,0.1
