,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.5,0.62,0.27,0.94,1.0,0.32,0.7,0.0,1.0,0.0,0.0,0.46,1.0
biopax.csv,0.52,0.28,0.21,0.53,0.53,0.11,0.32,0.13,0.85,0.02,0.41,0.41,0.85
gdis.csv,0.55,0.27,0.54,0.7,0.55,0.24,0.58,0.12,0.95,0.0,0.41,0.38,0.9
kml.csv,0.67,0.28,0.21,0.62,0.79,0.11,0.31,0.13,0.93,0.03,0.42,0.41,0.78
ppcboot.csv,0.53,0.29,0.21,0.62,0.5,0.11,0.35,0.14,0.83,0.02,0.42,0.41,0.8
repositorium.csv,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.08,0.0,0.03,0.29,0.29,0.55
rsyslog.csv,0.73,0.28,0.23,0.59,0.65,0.12,0.32,0.12,0.9,0.02,0.38,0.41,0.79
simplewebservices.csv,0.52,0.27,0.26,0.51,0.47,0.07,0.34,0.22,0.87,0.0,0.45,0.59,0.91
ultimairis.csv,0.64,0.26,0.26,0.76,0.76,0.03,0.74,0.15,0.89,0.0,0.35,0.44,0.97
wow-qrsk.csv,0.0,0.43,0.66,0.0,0.0,0.0,0.0,0.5,0.0,0.08,0.0,0.5,1.0
wxstudio.csv,0.5,0.24,0.09,0.51,0.43,0.14,0.25,0.0,0.7,0.0,0.63,0.43,0.46
xbg.csv,0.51,0.17,0.1,0.56,0.38,0.12,0.42,0.5,0.7,0.0,0.36,0.51,0.57
xqilla.csv,1.0,0.26,0.25,0.4,0.33,0.05,0.29,0.0,0.56,0.0,0.59,0.5,0.71
