,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.93,0.68,0.88,0.87,0.97,0.48,0.7,1.01,0.95,1.01,1.0,0.71,0.92
biopax.csv,1.0,1.0,0.88,0.94,0.77,1.0,0.96,1.0,0.77,1.0,0.97,1.0,0.6
gdis.csv,0.73,0.8,0.43,0.52,0.72,0.44,0.69,0.75,0.24,1.23,0.8,0.84,0.38
kml.csv,0.51,0.99,0.84,0.64,0.33,0.96,0.99,0.98,0.38,0.97,0.94,1.0,1.0
ppcboot.csv,0.96,0.92,0.87,0.56,0.9,0.9,0.8,0.93,0.85,1.0,1.0,1.0,0.9
repositorium.csv,1.0,1.0,1.0,1.0,1.0,0.64,1.0,0.86,1.0,0.73,0.95,0.89,0.95
rsyslog.csv,0.4,0.9,0.68,0.66,0.66,0.93,0.9,0.87,0.48,1.0,0.94,1.0,0.81
simplewebservices.csv,0.88,0.91,0.59,0.98,0.87,0.98,0.68,0.5,0.62,1.0,0.69,0.54,0.61
ultimairis.csv,0.54,1.0,0.59,0.57,0.5,1.0,0.42,0.72,0.55,1.06,0.83,0.75,0.5
wow-qrsk.csv,1.0,0.56,0.41,1.0,1.0,1.0,1.0,0.88,1.0,0.38,1.0,0.93,0.73
wxstudio.csv,0.84,0.82,1.07,0.95,0.78,0.62,0.89,1.0,1.01,1.0,0.48,0.97,1.07
xbg.csv,0.86,0.98,0.92,0.7,0.84,0.77,0.73,0.88,0.97,1.06,0.8,0.57,0.94
xqilla.csv,0.96,0.75,0.57,0.98,0.95,0.97,0.76,1.0,0.96,1.0,0.67,0.95,0.93
