,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.47,0.4,0.28,0.3,0.37,0.3,0.0,0.6,0.45,0.54,0.18,0.49,0.31,0.49,0.23,0.6,0.42,0.64
doomlegacy.csv,0.45,0.42,0.59,0.3,0.47,0.38,0.3,0.6,0.47,0.21,0.53,0.4,0.0,0.46,0.25,0.48,0.33,0.37
elmo.csv,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.04,0.05,0.0,0.01,0.03,0.16
geochat.csv,0.22,0.96,0.15,0.33,0.36,0.32,0.28,0.53,0.4,0.97,0.33,0.22,0.27,0.34,0.0,0.2,0.83,0.01
gpac.csv,0.34,0.24,0.17,0.26,0.27,0.51,0.56,0.02,0.26,0.56,0.41,0.32,0.15,0.49,0.12,0.34,0.33,0.35
illumination.csv,0.14,0.13,0.25,0.48,0.15,0.2,0.08,0.23,0.19,0.15,0.21,0.23,0.31,0.0,0.12,0.26,0.43,0.31
ktc.csv,0.0,0.13,0.2,0.22,0.13,0.26,0.06,0.13,0.07,0.21,0.19,0.19,0.35,0.2,0.04,0.21,0.52,0.38
neoengine.csv,0.49,0.99,0.0,0.33,0.42,0.78,0.19,0.87,0.9,0.59,0.65,0.6,0.69,0.66,0.7,0.49,0.55,0.55
nicepress.csv,0.11,0.16,0.14,0.0,0.15,0.0,0.12,0.21,0.42,0.1,0.18,0.19,0.15,0.23,0.09,0.16,0.17,0.06
omseek.csv,0.18,0.45,0.04,0.04,0.07,0.04,0.47,0.15,0.42,0.56,0.15,0.0,0.08,0.09,0.0,0.16,0.58,0.31
open-ms.csv,0.47,0.36,0.23,0.63,0.29,0.38,0.34,0.09,0.56,0.95,0.37,0.54,0.5,0.31,0.05,0.0,0.59,0.49
pi-qmc.csv,0.3,0.85,0.35,0.37,0.29,0.22,0.15,0.47,0.16,0.08,0.21,0.26,0.38,0.37,0.0,0.32,0.42,0.2
rosegarden.csv,0.16,0.37,0.23,0.59,0.01,0.28,0.13,0.32,0.2,0.26,0.15,0.44,0.5,0.17,0.09,0.23,0.2,0.2
smarttag.csv,0.25,0.18,0.15,0.19,0.26,0.22,0.11,0.13,0.45,0.0,0.17,0.32,0.23,0.31,0.12,0.27,0.19,0.22
sylpheed-claws.csv,0.41,0.39,0.59,0.56,0.26,0.3,0.58,0.53,0.01,0.44,0.33,0.46,0.42,0.45,0.38,0.42,0.71,0.35
tango-cs.csv,0.06,0.54,0.15,0.0,0.17,0.23,0.26,0.15,0.35,0.28,0.26,0.35,0.04,0.09,0.23,0.18,0.0,0.23
xemeiah.csv,0.21,0.3,0.29,0.11,0.22,0.29,0.18,0.45,0.21,0.33,0.0,0.2,0.35,0.15,0.12,0.46,0.61,0.27
zscreen.csv,0.56,0.75,0.41,0.0,0.48,0.48,0.67,0.51,0.6,0.82,0.67,0.48,0.35,0.43,0.12,0.53,0.49,0.65
