,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.81,0.94,0.9,0.91,0.93,0.92,0.92,0.93,0.93,0.97,0.64,0.6,0.81,0.95,0.94,0.97,0.93,0.96,0.47
dxengine.csv,0.42,0.73,0.54,0.52,0.53,0.59,0.94,0.77,0.93,0.78,0.67,0.33,0.61,0.71,0.76,0.51,0.75,0.64,0.63
e-bio-flow.csv,0.86,0.92,0.91,0.65,0.83,0.65,0.89,0.74,0.5,0.92,0.86,0.86,0.67,0.6,0.84,0.38,0.0,0.88,0.91
emono.csv,0.45,0.64,0.44,0.48,0.75,0.45,0.47,0.73,0.49,0.57,0.47,0.32,0.54,0.58,0.45,0.41,0.51,0.53,0.49
freedom-erp.csv,0.5,0.5,0.0,0.86,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.5,0.88,0.0,0.0,0.41,0.67,0.0,0.5
haggle.csv,0.52,0.59,0.43,0.64,0.5,0.52,0.55,0.61,0.48,0.55,0.42,0.0,0.39,0.45,0.43,0.75,0.5,0.5,0.37
jbpm.csv,0.42,0.79,0.94,0.78,0.68,0.72,0.98,0.84,0.94,0.93,0.79,0.87,0.84,0.87,0.52,0.96,0.0,0.78,0.95
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
jmoney.csv,0.53,0.92,0.8,0.59,0.79,0.53,0.56,0.75,0.91,0.92,0.5,0.35,0.63,0.86,0.66,0.7,0.8,0.88,0.71
jmonkeyengine.csv,0.81,0.54,0.47,0.88,0.54,0.64,0.64,0.69,0.59,0.62,0.78,0.37,0.56,0.55,0.96,0.92,0.59,0.52,0.72
jsidplay2.csv,0.4,0.54,0.92,0.4,0.55,0.39,0.49,0.58,0.6,0.91,0.34,0.38,0.44,0.98,0.45,0.3,0.7,0.94,0.39
log4net.csv,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matrex.csv,0.45,0.86,0.93,0.43,0.59,0.62,0.98,0.88,0.7,0.97,0.82,0.38,0.57,0.98,0.44,0.33,0.75,0.93,0.67
mediate.csv,0.47,0.38,0.9,0.42,0.6,0.43,0.47,0.48,0.5,0.68,0.45,0.47,0.41,0.64,0.41,0.33,0.6,0.9,0.45
piccolo2d.csv,0.89,0.8,0.0,0.5,0.0,0.92,0.98,0.0,0.0,0.0,0.67,0.0,0.75,0.5,0.0,0.95,0.0,0.8,0.8
pustefix.csv,0.5,0.94,0.77,0.71,0.65,0.56,0.8,0.75,0.77,0.94,0.6,0.71,0.66,0.87,0.56,0.96,0.83,0.81,0.75
sblim.csv,0.86,0.5,0.0,0.67,0.84,0.8,0.93,0.95,0.0,0.67,0.67,0.67,0.75,0.0,0.86,0.93,0.5,0.5,0.8
thedata.csv,0.83,0.83,0.67,0.94,0.91,0.94,0.78,0.82,0.95,0.0,0.83,0.92,0.67,0.0,0.94,0.57,0.9,0.51,0.67
tmva.csv,0.38,0.46,0.47,0.46,0.46,0.42,0.44,0.48,0.49,0.48,0.37,0.38,0.44,0.52,0.4,0.31,0.52,0.54,0.4
