,nutz.csv,jajuk.csv,ossim.csv,massiv.csv,v8.csv,ngl.csv,qmmp.csv,mesa3d.csv,rcp-company-uibindings.csv
jajuk.csv,0.99,0.19,0.68,0.68,0.62,0.38,0.34,0.72,1.0
massiv.csv,0.01,0.07,0.11,0.03,0.0,0.0,0.0,0.0,0.0
mesa3d.csv,0.45,0.11,0.55,0.52,0.62,0.48,0.6,0.29,0.2
ngl.csv,0.46,0.57,0.88,0.85,0.69,0.32,0.63,0.09,0.3
nutz.csv,0.18,0.75,0.93,0.88,0.85,0.74,0.77,0.97,0.3
ossim.csv,0.03,0.18,0.27,0.2,0.0,0.27,0.21,0.26,0.4
qmmp.csv,0.46,0.4,0.5,0.5,0.69,0.27,0.21,0.74,0.7
rcp-company-uibindings.csv,0.24,0.21,0.5,0.48,0.38,0.41,0.26,0.15,0.0
v8.csv,0.4,0.4,0.33,0.52,0.08,0.65,0.56,0.98,0.1
