,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.29,0.42,0.56,0.42,1.0,0.25,0.5,0.44,1.0,0.16,1.0,1.0,0.0,0.29,0.73,0.4,0.67,0.0,1.0,0.26
clamav.csv,0.14,0.51,0.0,0.19,0.17,0.17,0.7,0.38,0.25,0.3,0.86,0.93,0.53,0.42,0.74,0.5,1.0,0.0,0.67,0.42
customsagetv.csv,0.5,0.62,0.0,0.0,0.0,0.5,1.0,0.0,0.38,0.38,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.25,1.0,0.5
gss.csv,0.32,0.41,0.79,0.15,0.25,0.16,0.55,0.48,0.36,0.26,0.94,0.85,0.54,0.28,0.65,0.44,0.35,0.05,1.0,0.41
guineu.csv,1.0,0.74,1.0,0.1,0.2,0.03,0.33,0.65,0.1,0.31,0.9,0.44,1.0,0.4,0.64,0.7,0.56,0.0,0.73,0.47
inkscape.csv,0.15,0.55,0.0,0.19,0.16,0.1,0.98,0.5,0.75,0.35,0.91,0.82,0.33,0.29,0.5,0.27,0.6,0.2,0.6,0.25
mpqc.csv,0.57,0.49,0.8,0.17,0.11,1.0,0.42,0.41,0.17,0.2,1.0,0.68,0.36,0.2,0.62,0.66,0.32,0.04,0.42,0.42
nsis.csv,0.29,0.39,0.81,0.19,0.18,0.16,0.58,0.5,0.15,0.25,0.99,0.76,0.43,0.24,0.65,0.57,0.41,0.07,0.62,0.33
octave.csv,0.36,0.75,0.95,0.24,1.0,0.03,0.33,0.46,0.1,0.22,0.67,1.0,0.35,0.35,0.62,0.52,0.5,0.02,0.5,0.39
owfs.csv,0.39,0.91,1.0,1.0,0.21,0.04,0.62,0.4,0.23,0.39,0.77,0.83,0.5,0.44,0.75,0.78,0.33,0.0,1.0,0.47
owlib.csv,0.34,0.99,0.89,0.16,0.16,0.08,0.62,0.44,0.21,0.28,0.93,0.62,0.67,0.26,0.67,0.66,0.35,0.08,0.64,0.46
pamguard.csv,0.29,0.39,0.96,0.18,0.2,0.21,0.58,0.45,0.27,0.25,0.94,0.89,0.7,0.16,1.0,0.21,0.28,0.0,0.76,0.44
papertoolkit.csv,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
prelude.csv,0.31,0.4,1.0,0.18,0.18,0.15,0.6,0.48,0.24,0.28,0.9,0.8,0.4,0.28,0.64,0.54,0.37,0.05,0.61,0.39
pustefix.csv,0.44,0.38,1.0,0.12,0.2,0.05,0.0,0.56,0.07,0.05,1.0,0.0,0.32,1.0,0.91,0.65,0.52,0.0,0.4,0.34
robocode.csv,0.51,0.62,0.75,0.22,0.18,0.16,0.71,1.0,0.27,0.22,0.86,0.94,0.59,0.27,0.7,0.62,0.5,0.05,0.68,0.46
scenemonitor.csv,0.34,0.42,0.95,0.21,0.28,0.11,0.66,0.48,0.14,0.27,0.9,1.0,0.95,0.35,0.69,0.59,0.57,0.08,0.65,0.4
tango-cs.csv,0.31,0.51,1.0,0.25,0.04,0.17,0.47,0.62,0.24,0.28,0.91,0.76,0.5,0.27,0.71,0.4,0.6,0.11,0.86,0.98
uwom-server.csv,0.36,0.5,1.0,0.25,0.19,0.02,0.55,0.44,0.13,1.0,0.8,0.57,0.38,0.21,0.6,0.61,0.44,0.02,0.54,0.33
zengine.csv,0.3,0.41,0.79,0.18,0.28,0.16,0.62,0.53,0.32,0.3,0.93,1.0,0.51,0.3,0.63,0.49,0.52,0.07,0.62,0.42
