,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.03,0.4,0.0,0.1,1.0,0.09,0.26,0.82,0.15,0.03,0.37,0.18,0.05,0.36,0.34,0.09,0.44,0.37,0.3,0.33
blogentis.csv,0.02,0.32,0.01,0.12,0.78,0.08,0.46,0.79,0.04,0.03,0.34,0.21,0.03,0.19,0.26,0.07,0.36,0.76,0.32,0.2
free-evolution.csv,0.05,0.36,0.01,0.13,0.95,0.1,0.32,0.76,0.12,0.03,0.46,0.26,0.04,0.19,0.3,0.11,0.31,0.62,0.32,0.35
gtad.csv,0.13,0.4,0.01,0.17,1.0,0.15,0.33,1.0,0.05,0.05,0.59,0.29,0.12,0.32,0.53,0.18,0.48,0.74,0.44,0.36
htmlunit.csv,0.04,0.37,0.01,0.15,1.0,0.18,0.29,1.0,0.15,0.04,0.55,0.31,0.0,0.18,0.53,0.15,0.45,0.85,0.4,0.39
ipfire-wall.csv,0.33,0.38,0.02,0.0,1.0,0.04,0.23,1.0,0.06,0.0,0.26,0.27,0.12,0.23,0.67,0.12,0.5,0.31,0.0,0.25
irplus.csv,0.05,0.37,0.01,0.14,1.0,0.15,0.38,0.75,0.07,0.11,0.51,0.32,0.0,0.24,0.54,0.13,0.48,0.38,0.56,0.33
jasperreports.csv,0.02,0.36,0.01,0.15,0.8,0.18,0.4,0.87,0.18,0.06,0.32,0.18,0.07,0.19,0.35,0.28,0.3,0.46,0.21,0.2
jaxlib.csv,0.08,0.62,0.11,0.1,1.0,0.11,0.23,1.0,0.07,0.02,0.22,0.09,0.5,0.1,0.38,0.08,0.44,0.22,0.16,0.33
jvcl.csv,0.04,0.46,0.5,0.18,1.0,0.12,0.32,1.0,0.12,0.0,0.5,0.15,0.05,0.21,0.47,0.05,0.5,0.31,0.56,0.53
kaffeine.csv,0.03,0.46,0.0,0.1,0.98,0.1,0.35,0.83,0.02,0.04,0.41,0.21,0.04,0.25,0.34,0.1,0.49,0.42,0.35,0.27
m-m-m.csv,0.04,0.41,0.01,0.08,0.91,0.07,0.23,0.95,0.09,0.02,0.27,0.13,0.05,0.13,0.44,0.06,0.44,0.22,0.24,0.29
myfaces.csv,0.02,0.36,0.01,0.13,1.0,0.09,0.28,0.87,0.02,0.0,0.48,0.36,0.06,0.17,0.55,0.08,0.36,0.42,0.54,0.29
nh3d.csv,0.03,0.41,0.67,0.0,0.82,0.06,0.26,0.84,0.11,0.02,0.52,0.14,0.06,0.16,0.33,0.07,0.36,0.23,0.21,0.24
poormans.csv,0.0,0.5,0.0,0.14,0.67,0.3,0.4,0.7,0.08,0.33,0.61,0.27,0.04,0.4,0.0,0.21,0.67,0.81,0.52,0.0
sarasvati.csv,0.04,0.46,0.01,0.05,1.0,0.15,0.17,0.87,0.0,0.05,0.32,0.23,0.1,0.24,0.43,0.15,0.47,0.44,0.44,0.38
smartgwt.csv,0.04,0.36,0.01,0.18,0.94,0.05,0.29,0.83,0.08,0.05,0.3,0.2,0.06,0.15,0.38,0.05,0.41,0.49,0.26,0.28
taokgame.csv,0.04,0.0,0.0,0.1,1.0,0.03,0.33,1.0,0.5,0.0,0.38,0.14,0.0,0.14,0.42,0.09,0.36,0.13,0.34,0.54
wgs-assembler.csv,0.09,0.5,0.02,0.08,0.95,0.08,0.25,1.0,0.45,0.02,0.53,0.16,0.06,0.15,0.37,0.2,0.36,0.7,0.41,0.32
