,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.65,0.67,1.11,0.98,0.49,0.57,0.82,0.79,0.58,0.57,0.64,0.58,0.62,0.44,0.73,0.48,0.6,0.49,0.54,0.64
blogentis.csv,0.79,0.79,0.75,0.78,1.02,0.65,0.39,0.81,0.95,0.56,0.73,0.59,0.92,0.65,0.9,0.58,0.73,0.58,0.66,0.93
free-evolution.csv,0.56,1.0,0.9,0.6,0.62,0.55,0.63,0.85,0.67,0.54,0.47,0.41,0.92,0.66,0.77,0.41,0.83,0.66,0.49,0.55
gtad.csv,0.18,0.68,0.89,0.66,0.88,0.57,0.59,0.88,0.93,0.34,0.58,0.62,0.52,0.72,0.54,0.41,0.62,0.51,0.77,0.77
htmlunit.csv,0.59,0.76,0.85,0.55,0.76,0.65,0.65,0.88,0.66,0.43,0.43,0.47,1.05,0.69,0.54,0.3,0.66,0.56,0.5,0.69
ipfire-wall.csv,0.5,0.69,0.54,1.0,0.78,0.92,0.8,0.86,0.88,1.0,0.79,0.76,0.52,0.7,0.29,0.41,0.74,0.64,1.0,0.91
irplus.csv,0.49,0.69,0.86,0.6,0.57,0.51,0.58,0.86,0.92,0.13,0.41,0.39,1.01,0.66,0.39,0.35,0.6,0.56,0.43,0.64
jasperreports.csv,0.76,0.89,0.95,0.54,1.01,0.73,0.76,0.7,0.52,0.28,0.92,0.6,0.58,0.79,0.84,0.14,0.8,0.39,0.85,0.93
jaxlib.csv,0.52,0.87,0.75,0.79,0.88,0.48,0.78,0.43,0.87,0.79,0.86,0.85,0.04,0.86,0.64,0.75,0.59,0.85,0.86,0.58
jvcl.csv,0.6,0.85,0.5,0.53,0.78,0.74,0.62,0.94,0.67,1.04,0.77,0.67,0.65,0.82,0.65,0.87,0.81,0.56,0.35,0.73
kaffeine.csv,0.96,0.85,0.95,0.99,0.19,0.53,0.56,0.74,1.05,0.43,0.56,0.53,0.98,0.52,0.95,0.48,0.51,0.39,0.45,0.67
m-m-m.csv,0.6,0.75,0.67,0.89,0.62,0.76,0.96,0.31,0.88,0.97,0.86,0.95,0.77,0.84,0.53,0.8,0.6,0.94,0.66,0.63
myfaces.csv,0.8,0.72,0.94,0.59,0.76,0.59,0.84,0.77,1.09,1.03,0.56,0.35,0.65,0.87,0.46,0.6,0.75,0.41,0.6,0.76
nh3d.csv,1.0,0.63,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,1.0,0.71,1.0,1.0,0.76,1.0,1.0,1.0,1.0
poormans.csv,1.0,0.9,1.03,0.77,0.96,0.73,0.84,0.91,0.81,0.03,0.66,0.45,0.94,0.81,1.0,0.22,0.84,0.77,0.32,1.0
sarasvati.csv,0.62,0.74,0.68,1.0,0.88,0.39,0.86,0.77,1.05,0.3,0.71,0.51,0.4,0.6,0.57,0.29,0.54,0.4,0.8,0.64
smartgwt.csv,0.73,0.84,0.89,0.45,0.41,0.8,0.65,0.71,0.81,0.33,0.84,0.57,0.59,0.74,0.67,0.72,0.76,0.34,0.62,0.63
taokgame.csv,0.6,1.0,1.0,0.71,0.94,0.93,0.77,0.9,0.12,1.04,0.9,0.72,1.01,0.76,0.56,0.75,0.83,0.92,0.49,0.79
wgs-assembler.csv,0.3,0.54,0.5,0.77,0.64,0.67,0.74,0.96,0.17,0.97,0.6,0.67,0.67,0.8,0.64,0.21,0.71,0.66,0.43,0.55
