,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.62,0.93,0.0,0.43,0.72,0.68,0.94,0.55,0.53,0.89,0.69,0.57,0.44,0.86,0.98,0.78,0.97,0.51,0.5
apolloplayer.csv,0.45,0.49,0.68,0.4,0.51,0.61,0.55,0.95,0.67,0.48,0.52,0.37,0.64,0.55,0.43,0.69,0.53,0.8,0.41
auber.csv,0.63,0.44,0.42,0.45,0.42,0.45,0.58,0.45,0.46,0.48,0.42,0.59,0.44,0.67,0.43,0.42,0.55,0.44,0.48
cortex-vfx.csv,0.58,0.44,0.64,0.5,0.51,0.55,0.75,0.66,0.62,0.56,0.92,0.47,0.52,0.48,0.74,0.43,0.68,0.8,0.7
growl-for-windows.csv,0.0,0.39,0.34,0.0,0.0,0.38,0.8,0.51,0.5,0.5,0.64,0.5,0.38,0.91,0.88,0.96,0.9,0.69,0.8
ifmo-game-1.csv,0.8,0.92,0.0,0.8,0.7,0.78,0.97,0.8,0.88,0.9,0.93,0.57,0.5,0.9,0.98,0.9,0.98,0.62,0.0
ildjit.csv,0.9,0.89,0.41,0.79,0.76,0.92,0.77,0.78,0.76,0.55,0.82,0.93,0.57,0.86,0.5,0.56,0.44,0.9,0.89
jfreereport.csv,0.96,0.86,0.86,0.95,0.76,0.56,0.98,0.59,0.53,0.95,0.75,0.88,0.5,0.93,0.7,0.71,0.98,0.86,0.75
keyczar.csv,0.73,0.0,0.65,0.0,0.0,0.86,0.68,0.92,0.83,0.96,0.92,0.75,0.45,0.94,0.98,0.75,0.0,0.53,0.88
moast.csv,0.7,0.86,0.94,0.4,0.5,0.67,0.57,0.7,0.76,0.79,0.54,0.47,0.43,0.97,0.49,0.43,0.72,0.39,0.42
opde.csv,0.6,0.44,0.6,0.54,0.47,0.47,0.57,0.59,0.46,0.41,0.69,0.41,0.56,0.52,0.35,0.81,0.43,0.45,0.47
openfrag.csv,0.52,0.45,0.52,0.45,0.43,0.53,0.63,0.52,0.47,0.44,0.51,0.37,0.0,0.49,0.37,0.41,0.43,0.74,0.53
passwordsafe.csv,0.62,0.55,0.53,0.46,0.44,0.52,0.91,0.67,0.48,0.51,0.58,0.5,0.75,0.6,0.49,0.4,0.49,0.86,0.67
ppcboot.csv,0.4,0.48,0.41,0.4,0.43,0.47,0.86,0.44,0.45,0.4,0.46,0.34,0.85,0.46,0.32,0.38,0.56,0.47,0.42
quark.csv,0.73,0.92,0.83,0.0,0.99,0.0,0.0,0.8,0.62,0.74,0.5,0.5,0.0,0.68,0.98,0.92,0.91,0.0,0.0
super-tux.csv,0.43,0.59,0.66,0.41,0.51,0.7,0.61,0.52,0.43,0.53,0.44,0.36,0.66,0.47,0.48,0.73,0.47,0.36,0.45
synergyspace.csv,0.98,0.63,0.91,0.63,0.62,0.71,0.73,0.54,0.96,0.75,0.7,0.76,0.94,0.95,0.41,0.44,0.93,0.56,0.5
wikipediardware.csv,0.42,0.47,0.38,0.43,0.42,0.47,0.5,0.47,0.54,0.42,0.44,0.34,0.47,0.45,0.34,0.39,0.43,0.57,0.48
xtreemfs.csv,0.42,0.59,0.92,0.42,0.55,0.57,0.81,0.6,0.43,0.49,0.56,0.45,0.83,0.53,0.38,0.42,0.53,0.59,0.49
