,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.91,0.51,0.84,0.72,0.83,0.03,0.74,0.79,0.89,0.85,0.68
bdbbasic.csv,0.46,0.36,0.46,0.58,0.67,0.49,0.05,0.6,0.56,0.54,0.48
bibletime.csv,0.89,0.66,0.87,0.52,0.78,0.53,0.45,0.55,0.73,0.0,0.82
crux-framework.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
etherboot.csv,0.75,0.71,0.89,0.68,0.05,0.83,0.5,0.71,0.67,0.77,0.71
gnukeda.csv,0.73,0.66,0.62,0.03,0.78,0.61,0.62,0.65,0.63,0.52,0.72
google-gears.csv,0.86,0.48,0.62,0.81,0.73,0.96,0.53,0.75,0.05,0.8,0.81
jnode.csv,1.0,1.0,0.38,0.97,1.0,1.0,0.95,1.0,0.98,1.0,1.0
openmeetings.csv,0.78,0.05,0.76,0.85,0.87,0.69,0.79,0.61,0.87,0.85,0.7
pgui.csv,0.75,0.76,0.77,0.7,0.82,0.72,0.64,0.04,0.77,0.71,0.72
wxcrp.csv,0.1,0.54,0.57,0.83,0.89,0.55,0.79,0.71,0.78,0.88,0.75
