,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.68,0.8,0.46,0.93,0.83,0.98,0.0,0.63,0.8,0.68
fritzing.csv,0.41,0.55,0.55,0.55,0.43,0.54,0.89,0.47,0.62,0.46
jlinalg.csv,0.5,0.49,0.44,0.36,0.44,0.42,0.42,0.43,0.51,0.4
knowledge.csv,0.39,0.62,0.98,0.35,0.4,0.41,0.41,0.36,0.51,0.38
massiv.csv,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0
oscarmcmaster.csv,0.88,0.63,0.9,0.9,0.75,0.98,0.0,0.88,0.75,0.98
playerstage.csv,0.63,0.68,0.47,0.61,0.45,0.65,0.64,0.67,0.56,0.7
quarkplusplus.csv,0.48,0.82,0.64,0.78,0.54,0.77,0.92,0.89,0.67,0.91
rtrt-on-gpu.csv,0.75,0.69,0.73,0.58,0.65,0.55,0.9,0.8,0.75,0.59
superwaba.csv,0.39,0.55,0.48,0.48,0.4,0.41,0.48,0.36,0.48,0.48
