,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.65,0.61,0.51,0.87,0.81,0.27,0.9,0.05,0.83,0.59
fritzing.csv,0.49,0.49,0.04,0.45,0.49,0.61,0.81,0.48,0.73,0.6
jlinalg.csv,0.0,0.79,0.99,0.95,0.8,0.93,0.98,0.89,1.0,0.84
knowledge.csv,0.54,0.72,0.75,0.98,0.0,0.94,0.96,0.85,0.84,0.64
massiv.csv,1.0,0.98,0.97,1.0,1.0,0.0,1.0,1.0,1.0,1.0
oscarmcmaster.csv,0.84,0.55,0.75,0.83,0.94,0.51,0.9,0.75,0.83,0.09
playerstage.csv,0.68,0.57,0.46,0.03,0.58,0.58,0.94,0.58,0.69,0.64
quarkplusplus.csv,0.52,0.7,0.73,0.69,0.66,0.34,0.83,0.81,0.0,0.76
rtrt-on-gpu.csv,0.92,0.72,0.78,0.75,0.63,0.51,0.0,0.78,0.87,0.74
superwaba.csv,0.54,0.02,0.49,0.5,0.7,0.54,0.72,0.77,0.53,0.67
