,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.59,0.5,0.64,0.22,0.32,0.09,0.18,0.97,0.28,0.39
fritzing.csv,0.71,0.57,0.98,0.63,0.7,0.02,0.21,0.56,0.38,0.37
jlinalg.csv,1.0,0.47,0.65,0.59,0.95,0.02,0.3,0.49,0.58,0.35
knowledge.csv,0.64,0.37,0.37,0.59,1.0,0.02,0.3,0.49,0.55,0.34
massiv.csv,0.0,0.04,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oscarmcmaster.csv,0.28,0.53,0.38,0.29,0.12,0.07,0.18,0.36,0.29,0.96
playerstage.csv,0.49,0.51,0.66,0.98,0.72,0.02,0.08,0.47,0.43,0.34
quarkplusplus.csv,0.65,0.39,0.4,0.42,0.53,0.05,0.18,0.28,1.0,0.27
rtrt-on-gpu.csv,0.15,0.38,0.4,0.38,0.54,0.03,1.0,0.29,0.27,0.26
superwaba.csv,0.64,0.99,0.64,0.59,0.76,0.03,0.24,0.49,0.59,0.32
