,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.49,0.45,0.66,0.17,0.23,0.77,0.12,0.96,0.2,0.51
fritzing.csv,0.62,0.66,0.97,0.63,0.59,0.52,0.24,0.59,0.33,0.61
jlinalg.csv,1.0,0.53,0.05,0.21,0.55,0.27,0.09,0.38,0.0,0.48
knowledge.csv,0.54,0.36,0.33,0.09,1.0,0.24,0.17,0.46,0.48,0.55
massiv.csv,0.0,0.02,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oscarmcmaster.csv,0.19,0.52,0.3,0.2,0.07,0.55,0.12,0.29,0.2,0.93
playerstage.csv,0.39,0.5,0.66,0.98,0.58,0.53,0.12,0.49,0.42,0.47
quarkplusplus.csv,0.55,0.38,0.35,0.38,0.41,0.76,0.24,0.24,1.0,0.3
rtrt-on-gpu.csv,0.1,0.44,0.4,0.41,0.42,0.83,1.0,0.29,0.28,0.39
superwaba.csv,0.54,0.98,0.65,0.61,0.58,0.81,0.43,0.58,0.62,0.53
