,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.73,0.6,0.69,0.54,0.19,0.7,0.72,0.13,0.17,0.18,0.61,0.17,0.55
grafx2.csv,0.81,0.71,0.64,0.71,0.36,0.71,0.63,0.72,0.78,0.76,0.65,0.72,0.63
jahshakafx.csv,0.82,0.64,0.75,0.68,0.39,0.76,0.52,0.38,0.52,0.71,0.68,0.7,0.51
kftpgrabber.csv,0.73,0.3,0.0,0.05,0.53,0.58,0.23,0.75,0.42,0.25,0.84,0.59,0.36
kindb.csv,0.81,0.69,0.56,0.73,0.48,0.71,0.58,0.6,0.52,0.79,0.65,0.25,0.63
maya-work-in-progress.csv,0.69,0.63,0.75,0.51,0.61,0.67,0.84,0.74,0.71,0.83,0.68,0.72,0.71
netatalk.csv,0.66,0.4,0.54,0.05,0.45,0.65,0.56,0.41,0.65,0.71,0.55,0.77,0.54
nullc.csv,0.6,0.13,0.09,0.52,0.73,0.62,0.19,0.42,0.63,0.55,0.68,0.25,0.51
plee-the-bear.csv,0.8,0.45,0.76,0.05,0.52,0.48,0.67,0.58,0.56,0.51,0.5,0.57,0.51
reaper-ecad.csv,0.35,0.13,0.0,0.61,0.22,0.19,0.04,0.0,0.0,0.07,0.2,0.17,0.17
unimrcp.csv,0.71,0.68,0.69,0.78,0.63,0.7,0.69,0.71,0.58,0.76,0.72,0.54,0.67
unladen-swallow.csv,0.28,0.49,0.59,0.1,0.28,0.49,0.43,0.75,0.52,0.56,0.62,0.7,0.23
xmoto.csv,0.65,0.64,0.6,0.1,0.57,0.63,0.51,0.3,0.59,0.6,0.6,0.0,0.78
