,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,48.0,24.0,70.0,48.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0
grafx2.csv,12.0,1.0,38.0,15.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,8.0
jahshakafx.csv,2.0,0.0,32.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0
kftpgrabber.csv,8.0,14.0,553.0,4.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0
kindb.csv,1.0,28.0,138.0,20.0,0.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0
maya-work-in-progress.csv,50.0,1.0,49.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0
netatalk.csv,53.0,5.0,53.0,79.0,0.0,0.0,0.0,9.0,2.0,2.0,24.0,0.0,2.0
nullc.csv,58.0,3.0,56.0,55.0,0.0,1.0,0.0,5.0,1.0,2.0,11.0,0.0,1.0
plee-the-bear.csv,0.0,4.0,13.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,12.0
reaper-ecad.csv,0.0,7.0,553.0,3.0,0.0,3.0,0.0,100.0,80.0,0.0,1.0,1.0,0.0
unimrcp.csv,53.0,3.0,52.0,28.0,0.0,10.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0
unladen-swallow.csv,1.0,1.0,15.0,4.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
xmoto.csv,3.0,1.0,55.0,2.0,0.0,9.0,2.0,0.0,3.0,5.0,5.0,1.0,1.0
