,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.42,0.45,0.62,0.46,0.86,0.58,0.37,0.36,0.0,0.61,0.43,0.67
ivatamasks.csv,0.33,0.46,0.31,0.4,0.41,0.46,0.45,0.3,0.4,0.35,0.41,0.26
orc.csv,0.88,0.43,0.59,0.58,0.93,0.34,0.34,0.0,0.0,0.51,0.58,0.93
plato.csv,0.33,0.39,0.3,0.46,0.43,0.49,0.4,0.34,0.4,0.38,0.4,0.26
proftp.csv,0.8,0.66,0.88,0.77,0.75,0.5,0.35,0.54,0.0,0.96,0.58,0.0
tycho.csv,0.81,0.49,0.97,0.65,0.73,0.91,0.65,0.92,0.55,0.52,0.49,0.95
uclmda.csv,0.5,0.0,0.85,0.0,0.71,0.83,0.92,0.0,0.5,0.89,0.97,0.27
umber.csv,0.56,0.4,0.29,0.41,0.49,0.43,0.43,0.31,0.68,0.45,0.5,0.26
unicase.csv,0.48,0.39,0.32,0.42,0.61,0.43,0.42,0.48,0.51,0.41,0.42,0.88
vienna-add-in.csv,0.53,0.56,0.38,0.51,0.57,0.64,0.8,0.39,0.55,0.67,0.71,0.48
wpdev.csv,0.34,0.39,0.29,0.43,0.42,0.42,0.4,0.31,0.4,0.37,0.39,0.28
