,toped.csv,irrlicht.csv,qse.csv,truevision.csv,qedo.csv,genoviz.csv
genoviz.csv,0.0,0.01,0.0,0.0,0.0,1.0
irrlicht.csv,0.86,0.99,0.97,0.95,0.5,0.4
qedo.csv,0.06,0.16,0.0,0.0,0.95,0.0
qse.csv,0.84,0.5,0.94,0.61,0.0,0.8
toped.csv,1.0,0.82,0.91,0.45,0.41,0.4
truevision.csv,0.61,0.55,0.66,0.95,0.91,1.0
