,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.47,0.39,0.67,0.5,0.37,0.54,0.36,0.53,0.44,0.44,0.35,0.43,0.35,0.49
autowikibrowser.csv,0.4,0.33,0.53,0.36,0.28,0.32,0.31,0.37,0.35,0.37,0.39,0.4,0.32,0.4
cities3d.csv,0.59,0.67,0.86,0.52,0.78,0.62,0.67,0.51,0.0,0.98,0.83,0.65,0.0,0.5
kmatplot.csv,0.47,0.9,0.36,0.46,0.68,0.55,0.97,0.83,0.5,0.53,0.38,0.53,0.88,0.75
libarchive.csv,0.41,0.34,0.33,0.44,0.29,0.32,0.35,0.37,0.35,0.49,0.32,0.36,0.34,0.42
lphant.csv,0.48,0.33,0.64,0.42,0.34,0.47,0.36,0.4,0.36,0.6,0.38,0.36,0.35,0.49
mob-sen-plat.csv,0.45,0.39,0.37,0.44,0.42,0.72,0.39,0.39,0.42,0.43,0.43,0.66,0.52,0.55
mscore.csv,0.41,0.37,0.34,0.42,0.36,0.46,0.38,0.45,0.37,0.39,0.37,0.36,0.42,0.49
pidgin.csv,0.49,0.61,0.8,0.56,0.62,0.64,0.35,0.46,0.43,0.46,0.52,0.68,0.65,0.67
quickfast.csv,0.47,0.46,0.36,0.46,0.38,0.4,0.35,0.39,0.36,0.44,0.36,0.41,0.35,0.48
raygina.csv,0.5,0.47,0.0,0.83,0.94,0.5,0.75,0.5,0.82,0.83,0.36,0.47,0.63,0.42
riff-evolve.csv,0.48,0.46,0.67,0.42,0.41,0.56,0.4,0.55,0.5,0.54,0.38,0.45,0.36,0.71
upp-mirror.csv,0.7,0.84,0.75,0.71,0.42,0.96,0.66,0.75,0.88,0.58,0.89,0.81,0.53,0.94
wishmaster.csv,0.7,0.75,0.77,0.52,0.36,0.54,0.97,0.48,0.57,0.85,0.69,0.7,0.45,0.83
