,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.32,0.48,1.0,0.51,0.68,0.17,0.76,0.84,0.16,0.66,0.5,0.6,0.72,0.56
autowikibrowser.csv,0.31,0.45,0.8,0.42,0.66,0.09,0.84,0.71,0.2,0.52,0.65,0.7,0.66,0.62
cities3d.csv,0.24,0.33,0.71,0.36,0.65,0.17,0.33,0.81,0.0,0.57,0.42,0.59,0.0,1.0
kmatplot.csv,0.4,0.4,0.67,0.38,0.58,0.13,0.88,0.58,0.0,0.57,0.47,0.49,0.75,1.0
libarchive.csv,0.24,0.41,0.82,0.36,0.62,0.09,0.74,0.69,0.21,0.5,0.46,0.54,0.64,0.69
lphant.csv,0.36,0.42,0.82,0.47,0.74,0.15,0.85,0.78,0.21,0.65,0.65,0.62,0.79,0.7
mob-sen-plat.csv,0.23,0.41,0.83,0.38,0.65,0.22,0.84,0.67,0.24,0.5,0.43,0.45,0.87,0.61
mscore.csv,0.24,0.37,0.7,0.37,0.61,0.12,0.81,0.8,0.19,0.54,0.41,0.58,0.6,0.51
pidgin.csv,0.16,0.43,1.0,0.42,0.6,0.2,0.83,0.75,0.19,0.59,0.43,0.5,0.74,0.4
quickfast.csv,0.24,0.44,0.69,0.42,0.62,0.08,0.77,0.65,0.24,0.49,0.42,0.42,0.8,0.48
raygina.csv,0.21,0.53,0.0,0.5,0.5,0.09,0.73,0.67,0.27,0.66,0.4,0.52,0.63,0.44
riff-evolve.csv,0.3,0.46,1.0,0.47,0.71,0.18,0.89,0.87,0.12,0.73,0.58,0.62,0.78,0.75
upp-mirror.csv,0.26,0.32,1.0,0.44,0.76,0.07,0.81,0.73,0.19,0.57,0.33,0.54,0.59,0.5
wishmaster.csv,0.28,0.38,0.54,0.36,0.69,0.1,0.93,0.67,0.36,0.44,0.69,0.7,0.79,0.83
