,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.68,0.81,0.5,0.84,0.79,0.6,0.5,0.82,0.79,0.49,0.69,0.64,0.76,0.7
exordium.csv,0.7,0.85,0.62,0.67,0.39,0.61,0.34,0.43,0.47,0.57,0.75,0.63,0.62,0.54
google-caja.csv,0.64,0.69,0.54,0.67,0.49,0.74,0.43,0.33,0.91,0.48,0.69,0.62,0.6,0.66
hydrogen.csv,1.0,1.0,1.0,1.0,1.0,0.83,0.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.87,0.75,0.66,0.69,0.52,0.63,0.58,0.9,0.92,0.91,0.94,0.68,0.57,0.67
kvs.csv,1.0,1.0,0.74,0.35,1.0,0.92,1.0,0.65,0.83,0.74,0.93,0.93,0.91,0.87
megameknet.csv,0.53,0.84,0.63,0.73,0.55,0.66,0.39,0.93,0.67,0.41,0.76,0.7,0.61,0.65
ns-3-dev-def-routing.csv,0.83,0.8,0.7,0.91,0.44,0.86,0.74,0.87,0.69,0.65,0.71,0.52,0.62,0.76
open-ms.csv,0.8,0.84,0.59,0.49,0.62,0.64,0.39,0.52,0.51,0.51,0.89,0.64,0.56,0.56
openmsx.csv,0.52,0.49,0.81,0.95,0.93,0.6,0.96,0.83,0.88,0.91,0.53,0.71,0.65,0.93
rezilla.csv,0.85,0.33,0.81,0.77,0.72,0.57,0.4,0.87,0.56,0.58,0.77,0.86,0.83,0.87
sauerbraten.csv,0.38,0.9,0.95,1.0,0.95,0.85,1.0,0.69,0.86,0.96,0.96,0.98,1.0,0.97
webdriver.csv,0.48,0.9,0.59,0.75,0.4,0.34,0.5,0.8,0.59,0.45,0.75,0.62,0.55,0.55
yafdotnet.csv,0.61,0.84,0.58,0.62,0.58,0.6,0.41,0.52,0.4,0.52,0.7,0.6,0.59,0.62
