,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.62,0.67,0.4,0.07,0.53,0.37,0.36,0.89,0.73,0.8,0.36,0.68,0.15,0.58
encog-cs.csv,0.85,0.5,0.9,1.0,0.86,0.89,1.0,0.89,0.27,0.33,0.9,0.86,1.0,0.61
extprosys.csv,0.62,1.0,0.28,0.57,0.87,0.63,0.55,0.89,0.86,1.0,0.44,0.59,0.26,0.32
intact.csv,0.51,0.83,0.46,0.29,0.65,0.29,0.09,0.33,0.41,0.97,0.58,0.43,0.44,0.32
japano.csv,0.81,1.0,0.74,0.93,0.74,0.82,1.0,0.33,0.96,0.83,0.94,0.89,0.96,0.65
lockss.csv,0.21,0.0,0.07,0.0,0.29,0.15,0.18,0.44,0.08,0.35,0.32,0.3,0.0,0.29
officefloor.csv,0.49,0.0,0.25,0.29,0.14,0.19,0.0,0.67,0.26,0.23,0.26,0.08,0.04,0.65
opennms.csv,0.55,0.5,0.01,0.0,0.25,0.05,0.27,0.0,0.13,0.23,0.1,0.22,0.11,0.0
primefaces.csv,0.65,0.83,1.0,0.5,0.74,0.84,0.73,0.89,0.97,0.93,0.98,0.81,0.26,0.81
rohxel.csv,0.37,0.33,0.62,0.14,0.1,0.11,0.27,0.0,0.04,0.1,0.26,0.35,0.59,0.1
roolo.csv,0.78,0.67,0.94,0.86,0.83,0.84,0.45,0.56,0.88,0.7,0.92,0.24,0.89,0.74
sevenupdate.csv,1.0,0.0,1.0,1.0,0.95,1.0,1.0,1.0,0.94,0.67,1.0,1.0,1.0,1.0
web-cat.csv,0.31,0.0,0.01,0.43,0.52,0.38,0.36,0.33,0.77,0.39,0.56,0.43,0.11,0.23
