,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.38,0.51,0.59,0.39,0.45,0.55,0.56,0.43,0.41,0.41,0.51,0.44,0.93,0.44
encog-cs.csv,0.36,0.46,0.53,0.41,0.4,0.37,0.42,0.56,0.54,0.6,0.5,0.46,0.33,0.42
extprosys.csv,0.45,0.42,0.54,0.4,0.38,0.51,0.73,0.55,0.39,0.39,0.44,0.47,0.94,0.81
intact.csv,0.48,0.43,0.6,0.47,0.39,0.53,0.67,0.43,0.51,0.4,0.4,0.48,0.52,0.6
japano.csv,0.38,0.46,0.56,0.4,0.41,0.39,0.38,0.54,0.37,0.45,0.48,0.45,0.35,0.44
lockss.csv,0.7,0.5,0.95,0.86,0.53,0.93,0.57,0.38,0.95,0.41,0.44,0.53,0.75,0.42
officefloor.csv,0.46,0.7,0.66,0.52,0.89,0.71,0.0,0.39,0.68,0.77,0.53,0.75,0.67,0.34
opennms.csv,0.45,0.56,0.5,0.8,0.61,0.83,0.53,0.88,0.91,0.68,0.99,0.73,0.83,0.0
primefaces.csv,0.39,0.43,0.47,0.36,0.36,0.38,0.4,0.46,0.36,0.4,0.45,0.41,0.44,0.29
rohxel.csv,0.62,0.67,0.68,0.94,0.91,0.94,0.39,0.92,0.94,0.92,1.0,0.65,0.33,0.8
roolo.csv,0.39,0.49,0.49,0.46,0.41,0.4,0.54,0.54,0.4,0.56,0.49,0.72,0.32,0.38
sevenupdate.csv,0.3,0.57,0.47,0.35,0.37,0.33,0.36,0.47,0.37,0.51,0.45,0.4,0.33,0.32
web-cat.csv,0.78,0.92,0.0,0.8,0.57,0.64,0.93,0.97,0.44,0.9,0.67,0.77,0.93,0.52
