,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,1.0,0.76,0.55,0.84,0.5,0.43,0.54,0.68,0.74,0.95,0.68,0.9,0.28,0.37
encog-cs.csv,1.0,0.69,0.79,0.82,0.79,0.93,0.82,0.82,0.7,0.23,0.79,0.8,0.98,0.74
extprosys.csv,1.0,0.76,0.51,0.87,0.89,0.57,0.41,0.65,0.91,1.0,0.76,0.5,0.28,0.32
intact.csv,1.0,0.76,0.47,0.53,0.75,0.63,0.28,0.41,0.62,0.95,0.92,0.25,0.22,0.26
japano.csv,0.0,0.94,0.85,0.85,0.89,0.8,0.95,0.76,0.92,0.73,0.79,0.9,0.92,0.74
lockss.csv,1.0,0.33,0.19,0.07,0.36,0.13,0.31,0.42,0.17,0.55,0.68,0.2,0.1,0.53
officefloor.csv,1.0,0.2,0.26,0.43,0.25,0.23,0.03,0.42,0.33,0.23,0.66,0.05,0.05,0.47
opennms.csv,1.0,0.27,0.02,0.05,0.61,0.07,0.31,0.06,0.29,0.32,0.18,0.15,0.08,0.0
primefaces.csv,1.0,0.61,1.0,0.64,0.75,0.8,0.69,0.84,0.98,0.91,0.97,0.8,0.8,0.89
rohxel.csv,1.0,0.57,0.6,0.15,0.11,0.27,0.77,0.1,0.17,0.18,0.18,0.35,0.72,0.11
roolo.csv,1.0,0.8,0.96,0.76,0.86,0.8,0.49,0.5,0.85,0.59,0.95,0.8,0.82,0.84
sevenupdate.csv,1.0,0.76,1.0,1.0,0.86,1.0,1.0,1.0,0.95,0.64,1.0,1.0,0.98,1.0
web-cat.csv,0.0,0.24,0.0,0.34,0.39,0.57,0.28,0.26,0.62,0.23,0.37,0.3,0.28,0.74
