,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.56,0.67,0.5,0.48,0.82
open-data-kit.csv,0.44,0.45,0.45,0.45,0.7
qtractor.csv,0.5,0.55,0.5,0.55,0.73
quarkplayer.csv,0.94,0.89,0.95,0.99,0.68
turbotrader-bos.csv,0.65,0.68,0.93,0.59,0.91
